		Sample	Sample ID	Sample Weight [mg]	Area [mV.s]	Area [mV.s]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
					Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon
Eu.E1.3.10-20.04_10_2_2018 8_38_34 AM_2	Colibrick - 1	Eu.E1.3.10-20.04	G5	18.725	8.272	730.685	0.01	0.232	0.053	1.24	0.011	1	23.228	1
Calib\std 1_10_2_2018 8_43_35 AM_3	Colibrick - 1	std 1	H6	0.603	29.957	1251.051	0.029	0.418	4.816	69.362	0.024	1	14.402	1
Calib\std 2_10_2_2018 8_48_37 AM_4	Colibrick - 1	std 2	H3	1.163	60.972	2371.606	0.056	0.819	4.839	70.404	0.026	1	14.549	1
Calib\std 3_10_2_2018 8_53_38 AM_5	Colibrick - 1	std 3	H2	1.908	101.755	3807.067	0.092	1.332	4.827	69.806	0.027	1	14.463	1
Bp.E2.4.40-60.16_10_2_2018 8_58_40 AM_6	Colibrick - 1	Bp.E2.4.40-60.16	A1	19.18	14.044	935.284	0.015	0.305	0.079	1.592	0.015	1	20.268	1
Bp.E2.2.40-60.16_10_2_2018 9_03_41 AM_7	Colibrick - 1	Bp.E2.2.40-60.16	A2	18.856	12.647	668.28	0.014	0.21	0.073	1.113	0.019	1	15.169	1
Bp.E2.1.40-60.16_10_2_2018 9_08_42 AM_8	Colibrick - 1	Bp.E2.1.40-60.16	A3	18.272	17.426	1075.579	0.018	0.356	0.099	1.946	0.016	1	19.711	1
Eu.E1.1.10-20.16_10_2_2018 9_13_43 AM_9	Colibrick - 1	Eu.E1.1.10-20.16	A4	19.876	16.341	789.231	0.017	0.253	0.086	1.274	0.021	1	14.819	1
Eu.E1.1.10-20.16_10_2_2018 9_18_45 AM_10	Colibrick - 1	Eu.E1.1.10-20.16	A5	17.433	12.031	602.585	0.013	0.186	0.076	1.07	0.02	1	14.021	1
Eu.E1.2.10-20.16_10_2_2018 9_23_46 AM_11	Colibrick - 1	Eu.E1.2.10-20.16	A6	19.272	12.505	553.672	0.014	0.169	0.071	0.877	0.023	1	12.32	1
Eu.E1.T.2.0-10.16_10_2_2018 9_28_47 AM_12	Colibrick - 1	Eu.E1.T.2.0-10.16	A7	19.932	18.431	815.807	0.019	0.263	0.095	1.318	0.023	1	13.884	1
It.E1.L.5.60-100.16_10_2_2018 9_33_48 AM_13	Colibrick - 1	It.E1.L.5.60-100.16	A8	20.29	6.153	541.21	0.008	0.165	0.04	0.811	0.011	1	20.217	1
Calib\std 4_10_2_2018 9_38_49 AM_14	Colibrick - 1	std 4	H4	0.571	28.628	1199.089	0.028	0.4	4.882	69.997	0.024	1	14.339	1
It.E1.L.5.60-100.16_10_2_2018 9_43_53 AM_15	Colibrick - 1	It.E1.L.5.60-100.16	A9	17.887	4.347	469.862	0.007	0.139	0.037	0.777	0.009	1	21.218	1
Cr.E.1.20-40.16_10_2_2018 9_48_55 AM_16	Colibrick - 1	Cr.E.1.20-40.16	A10	20.876	17.138	894.492	0.018	0.291	0.085	1.393	0.019	1	16.352	1
Bp.E2.Ee1.3.0-10.16_10_2_2018 9_53_56 AM_17	Colibrick - 1	Bp.E2.Ee1.3.0-10.16	A11	18.559	18.461	1045.083	0.019	0.345	0.102	1.857	0.018	1	18.19	1
JP.A.E.2.40-60.16_10_2_2018 9_58_58 AM_18	Colibrick - 1	JP.A.E.2.40-60.16	A12	27.166	4.912	214.406	0.007	0.048	0.026	0.176	0.023	1	6.769	1
Eu.E2.Ee1.2.0-10.16_10_2_2018 10_03_59 AM_19	Colibrick - 1	Eu.E2.Ee1.2.0-10.16	B1	20.755	19.291	986.598	0.02	0.324	0.095	1.56	0.02	1	16.453	1
Bp.E2.3.40-60.16_10_2_2018 10_09_01 AM_20	Colibrick - 1	Bp.E2.3.40-60.16	B2	20.432	13.651	762.476	0.015	0.244	0.072	1.192	0.018	1	16.548	1
It.E2.1.40-60.16_10_2_2018 10_14_02 AM_21	Colibrick - 1	It.E2.1.40-60.16	B4	16.685	11.598	892.452	0.013	0.29	0.077	1.739	0.013	1	22.453	1
It.E2.2.40-60.16_10_2_2018 10_19_03 AM_22	Colibrick - 1	It.E2.2.40-60.16	B5	19.497	14.27	1101.196	0.015	0.365	0.078	1.87	0.013	1	23.889	1
It.E2.1.20-40.16_10_2_2018 10_24_05 AM_23	Colibrick - 1	It.E2.1.20-40.16	B6	18.513	17.93	1315.12	0.018	0.441	0.1	2.383	0.014	1	23.872	1
It.E1.Ee1.3.10-20.16_10_2_2018 10_29_07 AM_24	Colibrick - 1	It.E1.Ee1.3.10-20.16	B7	16.661	30.802	2216.012	0.03	0.763	0.179	4.581	0.014	1	25.625	1
Calib\std 5_10_2_2018 10_34_09 AM_25	Colibrick - 1	std 5	H7	1.24	64.746	2571.522	0.06	0.89	4.806	71.795	0.025	1	14.939	1
JP.P.1.20-40.04_10_2_2018 10_39_14 AM_26	Colibrick - 1	JP.P.1.20-40.04	B8	21.62	4.74	349.517	0.007	0.096	0.032	0.444	0.014	1	13.919	1
