		Sample	Sample ID	Sample Weight [mg]	Area [mV.s]	Area [mV.s]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
It.N.1.0-10.04_10_2_2018 10_44_16 AM_27	Colibrick - 1	It.N.1.0-10.04	B9	19.106	62.566	2984.516	0.058	1.038	0.302	5.432	0.021	1	17.995	1
Bp.E2.1.20-40.16_10_2_2018 10_49_18 AM_28	Colibrick - 1	Bp.E2.1.20-40.16	B10	17.817	22.938	1464.575	0.023	0.495	0.128	2.776	0.016	1	21.619	1
Bp.E2.1.20-40.16_10_2_2018 10_54_20 AM_29	Colibrick - 1	Bp.E2.1.20-40.16	B11	18.929	24.566	1515.112	0.024	0.513	0.128	2.708	0.016	1	21.09	1
JP.P.3.60-100.04_10_2_2018 10_59_21 AM_30	Colibrick - 1	JP.P.3.60-100.04	B12	26.196	3.677	308.165	0.006	0.081	0.023	0.31	0.012	1	13.62	1
JP.A.4.40-60.16_10_2_2018 11_04_23 AM_31	Colibrick - 1	JP.A.4.40-60.16	C1	26.858	4.02	233.327	0.006	0.054	0.023	0.203	0.017	1	8.695	1
JP.A.3.40-60.16_10_2_2018 11_09_24 AM_32	Colibrick - 1	JP.A.3.40-60.16	C2	25.544	3.49	192.654	0.006	0.04	0.023	0.156	0.018	1	6.886	1
Bp.E2.3.40-60.16_10_2_2018 11_14_26 AM_33	Colibrick - 1	Bp.E2.3.40-60.16	B3	18.137	11.011	638.8	0.012	0.199	0.068	1.099	0.017	1	16.076	1
Calib\std 6_10_2_2018 11_19_28 AM_34	Colibrick - 1	std 6	H1	0.758	38.842	1589.674	0.037	0.539	4.861	71.147	0.024	1	14.637	1
BO.P.2.40-60.16_10_2_2018 11_46_32 AM_35	Colibrick - 1	BO.P.2.40-60.16	B1	17.695	11.277	531.296	0.013	0.161	0.071	0.91	0.021	1	12.738	1
BO.P.2.40-60.16_10_2_2018 11_51_34 AM_36	Colibrick - 1	BO.P.2.40-60.16	B2	22.361	10.4	527.048	0.012	0.159	0.053	0.713	0.02	1	13.437	1
BO.P.2.40-60.16_10_2_2018 11_56_36 AM_37	Colibrick - 1	BO.P.2.40-60.16	B3	22.73	11.787	591.275	0.013	0.182	0.058	0.803	0.02	1	13.941	1
Cr.A2.2.10-20.16_10_2_2018 12_01_38 PM_38	Colibrick - 1	Cr.A2.2.10-20.16	B4	21.665	21.371	1190.019	0.022	0.396	0.099	1.83	0.018	1	18.438	1
Cr.A2.2.10-20.16_10_2_2018 12_06_40 PM_39	Colibrick - 1	Cr.A2.2.10-20.16	B5	18.653	18.661	1128.578	0.019	0.374	0.103	2.008	0.017	1	19.584	1
Cr.A2.2.10-20.16_10_2_2018 12_11_42 PM_40	Colibrick - 1	Cr.A2.2.10-20.16	B6	21.152	22.054	1191.672	0.022	0.397	0.104	1.877	0.019	1	17.964	1
Calib\std 7_10_2_2018 12_16_44 PM_41	Colibrick - 1	std 7	H5	1.946	104.648	3941.624	0.095	1.38	4.863	70.914	0.027	1	14.583	1
