		Sample	Sample ID	Sample Weight [mg]	Area [mV.s]	Area [mV.s]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
					Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon
bypass_9_10_2018 2_01_58 PM_1	Colibrick - 1	bypass		1.008	54.651	2119.503	0.052	0.712	5.139	70.594	0.026	1	13.736	1
Calib\std 1_9_10_2018 2_14_08 PM_2	Colibrick - 1	std 1	H1	0.571	28.336	1226.168	0.028	0.402	4.865	70.394	0.023	1	14.469	1
Calib\std 2_9_10_2018 2_19_09 PM_3	Colibrick - 1	std 2	H2	0.904	44.93	1917.594	0.043	0.642	4.749	70.974	0.023	1	14.945	1
Calib\std 3_9_10_2018 2_24_11 PM_4	Colibrick - 1	std 3	H4	1.768	90.987	3651.537	0.085	1.243	4.806	70.283	0.025	1	14.623	1
Eu.E1.Ee2.4.0-10.16_9_10_2018 2_29_12 PM_5	Colibrick - 1	Eu.E1.Ee2.4.0-10.16	F4	19.588	20.552	929.274	0.021	0.299	0.106	1.527	0.022	1	14.465	1
Eu.E1.4.10-20.04_9_10_2018 2_34_13 PM_6	Colibrick - 1	Eu.E1.T.4.10-20.04	F5	20.595	17.043	1099.554	0.017	0.358	0.085	1.739	0.016	1	20.495	1
Eu.E1.3.10-20.04_9_10_2018 2_39_14 PM_7	Colibrick - 1	Eu.E1.E.3.10-20.04	F6	20.459	13.035	782.44	0.014	0.248	0.068	1.213	0.017	1	17.967	1
Eu.E1.2.10-20.04_9_10_2018 2_44_16 PM_8	Colibrick - 1	Eu.E1.T.2.10-20.04	F10	21.507	12.159	784.05	0.013	0.249	0.06	1.156	0.016	1	19.115	1
Eu.E1.1.10-20.04_9_10_2018 2_49_17 PM_9	Colibrick - 1	Eu.E1.E.1.10-20.04	F11	21.253	15.576	878.348	0.016	0.281	0.076	1.324	0.018	1	17.444	1
Eu.E1.3.0-10.04_9_10_2018 2_54_18 PM_10	Colibrick - 1	Eu.E1.E.3.0-10.04	G7	20.729	15.893	911.269	0.016	0.293	0.079	1.413	0.017	1	17.831	1
Eu.E1.2.0-10.04_9_10_2018 2_59_19 PM_11	Colibrick - 1	Eu.E1.T.2.0-10.04	G8	19.568	19.621	1197.349	0.02	0.392	0.101	2.003	0.016	1	19.772	1
Eu.E1.1.0-10.04_9_10_2018 3_04_21 PM_12	Colibrick - 1	Eu.E1.E.1.0-10.04	G9	19.576	18.677	1101.7	0.019	0.359	0.097	1.833	0.017	1	18.922	1
Eu.E1.1.60-100.04_9_10_2018 3_09_22 PM_13	Colibrick - 1	Eu.E1.1.60-100.04	G10	19.542	4.296	257.45	0.006	0.066	0.03	0.339	0.017	1	11.347	1
Eu.E1.2.60-100.04_9_10_2018 3_14_24 PM_14	Colibrick - 1	Eu.E1.2.60-100.04	G11	19.483	4.019	244.331	0.006	0.062	0.029	0.316	0.016	1	11.047	1
Eu.E1.3.60-100.04_9_10_2018 3_19_25 PM_15	Colibrick - 1	Eu.E1.3.60-100.04	H1	18.89	3.278	183.389	0.005	0.041	0.026	0.214	0.018	1	8.263	1
Calib\std 4_9_10_2018 3_24_27 PM_16	Colibrick - 1	std 4	H8	0.71	34.9	1510.018	0.034	0.5	4.757	70.47	0.023	1	14.814	1
JP.A.L.3.60-100.16_9_10_2018 3_29_31 PM_17	Colibrick - 1	JP.A.L.3.60-100.16	D1	21.745		156.697		0.031		0.144		1		1
JP.A.E.2.0-10.16_9_10_2018 3_34_32 PM_18	Colibrick - 1	JP.A.E.2.0-10.16	B4	19.902	8.665	526.773	0.01	0.16	0.049	0.802	0.016	1	16.243	1
JP.A.E.1.0-10.16_9_10_2018 3_39_34 PM_19	Colibrick - 1	JP.A.E.1.0-10.16	B5	18.858	7.539	489.08	0.009	0.146	0.047	0.777	0.015	1	16.657	1
JP.A.E.1.40-60.16_9_10_2018 3_44_36 PM_20	Colibrick - 1	JP.A.E.1.40-60.16	B6	20.185	3.242	169.907	0.005	0.036	0.024	0.178	0.019	1	7.358	1
JP.A.L.3.0-10.16_9_10_2018 3_49_37 PM_21	Colibrick - 1	JP.A.L.3.0-10.16	A5	21.108	10.499	723.021	0.011	0.228	0.054	1.078	0.015	1	19.794	1
JP.A.L.4.0-10.16_9_10_2018 3_54_39 PM_22	Colibrick - 1	JP.A.L.4.0-10.16	A6	20.615	6.533	455.3	0.008	0.135	0.038	0.654	0.014	1	17.113	1
Calib\std 5_9_10_2018 3_59_41 PM_23	Colibrick - 1	std 5	H3	2.415	127.703	4912.619	0.118	1.68	4.907	69.553	0.026	1	14.175	1
Eu.N.3.40-60.04_9_10_2018 4_04_46 PM_24	Colibrick - 1	Eu.N.3.40-60.04	E4	21.02	7.123	472.901	0.008	0.141	0.04	0.67	0.015	1	16.742	1
Eu.N.4.40-60.04_9_10_2018 4_09_48 PM_25	Colibrick - 1	Eu.N.4.40-60.04	E5	18.941	5.551	365.18	0.007	0.104	0.037	0.547	0.015	1	14.834	1
Eu.N.1.60-100.04_9_10_2018 4_14_50 PM_26	Colibrick - 1	Eu.N.1.60-100.04	D9	21.392	5.577	397.157	0.007	0.115	0.033	0.536	0.014	1	16.366	1
Eu.N.2.60-100.04_9_10_2018 4_19_52 PM_27	Colibrick - 1	Eu.N.2.60-100.04	D10	19.409	7.882	887.577	0.009	0.285	0.047	1.466	0.009	1	31.251	1
Eu.N.1.20-40.04_9_10_2018 4_24_54 PM_28	Colibrick - 1	Eu.N.1.20-40.04	D11	20.264	10.655	656.062	0.012	0.204	0.057	1.008	0.016	1	17.557	1
Eu.N.2.20-40.04_9_10_2018 4_29_56 PM_29	Colibrick - 1	Eu.N.2.20-40.04	D12	20.552	10.818	762.867	0.012	0.241	0.057	1.174	0.014	1	20.476	1
JP.A.E.4.10-20.16_9_10_2018 4_34_58 PM_30	Colibrick - 1	JP.A.E.4.10-20.16	A7	18.926	3.383	202.358	0.005	0.047	0.026	0.249	0.017	1	9.419	1
JP.A.E.4.20-40.16_9_10_2018 4_40_00 PM_31	Colibrick - 1	JP.A.E.4.20-40.16	A8	18.399	3.932	227.235	0.006	0.056	0.03	0.303	0.017	1	10.128	1
JP.A.E.1.20-40.16_9_10_2018 4_45_03 PM_32	Colibrick - 1	JP.A.E.1.20-40.16	A9	19.681	4.359	244.443	0.006	0.062	0.03	0.313	0.018	1	10.47	1
JP.A.E.2.20-40.16_9_10_2018 4_50_04 PM_33	Colibrick - 1	JP.A.E.2.20-40.16	A10	20.384	3.628	201.396	0.005	0.047	0.026	0.229	0.018	1	8.951	1
JP.A.E.3.20-40.16_9_10_2018 4_55_06 PM_34	Colibrick - 1	JP.A.E.3.20-40.16	A12	20.414	3.547	216.295	0.005	0.052	0.025	0.254	0.016	1	10.083	1
Calib\std 6_9_10_2018 5_00_09 PM_35	Colibrick - 1	std 6	H1	0.327	16.009	717.635	0.017	0.226	5.054	69.018	0.022	1	13.656	1
Eu.N.1.40-60.04_9_10_2018 5_05_17 PM_36	Colibrick - 1	Eu.N.1.40-60.04	E1	21.25	7.182	480.347	0.008	0.143	0.04	0.675	0.015	1	16.941	1
Eu.N.2.40-60.04_9_10_2018 5_10_19 PM_37	Colibrick - 1	Eu.N.2.40-60.04	E2	21.271	8.659	698.701	0.01	0.219	0.046	1.03	0.012	1	22.324	1
Eu.N.3.40-60.04_9_10_2018 5_15_20 PM_38	Colibrick - 1	Eu.N.3.40-60.04	E3	20.089	7.144	469.371	0.008	0.14	0.042	0.695	0.015	1	16.558	1
Eu.E2.1.20-40.04_9_10_2018 5_20_22 PM_39	Colibrick - 1	Eu.E2.1.20-40.04	E4	21.112	7.682	578.78	0.009	0.178	0.042	0.841	0.013	1	19.897	1
Eu.E2.2.20-40.04_9_10_2018 5_25_24 PM_40	Colibrick - 1	Eu.E2.2.20-40.04	E5	19.215	7.036	457.086	0.008	0.135	0.043	0.705	0.015	1	16.243	1
Eu.E2.3.20-40.04_9_10_2018 5_30_26 PM_41	Colibrick - 1	Eu.E2.3.20-40.04	E6	21.543	7.59	566.521	0.009	0.173	0.041	0.804	0.013	1	19.605	1
Eu.E2.4.20-40.04_9_10_2018 5_35_28 PM_42	Colibrick - 1	Eu.E2.4.20-40.04	E7	19.436	6.788	508.664	0.008	0.153	0.042	0.789	0.013	1	18.902	1
Eu.E2.1.10-20.04_9_10_2018 5_40_30 PM_43	Colibrick - 1	Eu.E2.1.10-20.04	F6	20.595	11.511	812.724	0.012	0.259	0.06	1.256	0.014	1	20.825	1
Eu.E2.2.10-20.04_9_10_2018 5_45_33 PM_44	Colibrick - 1	Eu.E2.2.10-20.04	F7	21.253	12.088	929.666	0.013	0.299	0.061	1.408	0.013	1	23.109	1
Eu.E2.3.10-20.04_9_10_2018 5_50_35 PM_45	Colibrick - 1	Eu.E2.3.10-20.04	F8	21.008	12.187	844.087	0.013	0.27	0.062	1.283	0.014	1	20.673	1
