"","run.date","Wt.mg","ID","N","N.mg","N.area","C","C.mg","C.area","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"33","04-Aug-20173313_28.prm",26.256,"Bp.E1.Ee1.1.60-100.16",0.107,0.0281,11.6886,1.3905,0.3651,241.6785,"Bp","E","Bp.E1","Ee1","16",1,60,100,80,29,0.0951065061231502,"Aug-04"
"34","04-Aug-20173413_34.prm",26.583,"Bp.E1.Ee2.1.60-100.16",0.0954,0.0254,11.029,1.2457,0.3311,219.5789,"Bp","E","Bp.E1","Ee2","16",1,60,100,80,30,0.0844721209112103,"Aug-04"
"35","04-Aug-20173513_39.prm",27.225,"Bp.E1.T.2.60-100.16",0.0978,0.0266,11.3319,1.2507,0.3405,225.679,"Bp","E","Bp.E1","T","16",2,60,100,80,31,0.0862678122056092,"Aug-04"
"36","04-Aug-20173613_45.prm",26.345,"Bp.E1.L.2.60-100.16",0.1027,0.0271,11.4409,1.2532,0.3302,218.9337,"Bp","E","Bp.E1","L","16",2,60,100,80,32,0.0902467482256832,"Aug-04"
"37","04-Aug-20173713_51.prm",27.813,"Bp.E1.Ee1.2.60-100.16",0.1019,0.0283,11.7461,1.2654,0.3519,233.1174,"Bp","E","Bp.E1","Ee1","16",2,60,100,80,33,0.0892057251882995,"Aug-04"
"38","04-Aug-20173813_57.prm",27.848,"Bp.E1.Ee2.2.60-100.16",0.0996,0.0277,11.6016,1.2797,0.3564,236.0044,"Bp","E","Bp.E1","Ee2","16",2,60,100,80,34,0.0868643345569635,"Aug-04"
"39","04-Aug-20173914_02.prm",27.067,"Bp.E1.T.3.60-100.16",0.0956,0.0259,11.1531,1.205,0.3262,216.3367,"Bp","E","Bp.E1","T","16",3,60,100,80,35,0.0830634198906427,"Aug-04"
"40","04-Aug-20174014_08.prm",27.26,"Bp.E1.L.3.60-100.16",0.1023,0.0279,11.6383,1.166,0.3179,210.9332,"Bp","E","Bp.E1","L","16",3,60,100,80,36,0.0885530253503335,"Aug-04"
"41","04-Aug-20174114_14.prm",28.239,"Bp.E1.Ee1.3.60-100.16",0.1124,0.0317,12.5683,1.3885,0.3921,259.2476,"Bp","E","Bp.E1","Ee1","16",3,60,100,80,37,0.0969339668168422,"Aug-04"
"42","04-Aug-20174214_20.prm",27.966,"Bp.E1.Ee2.3.60-100.16",0.0998,0.0279,11.6479,1.2828,0.3588,237.5507,"Bp","E","Bp.E1","Ee2","16",3,60,100,80,38,0.0857488150066276,"Aug-04"
