"","run.date","ID","Wt.mg","N.mg","C.mg","N","C","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"43","_7_12_2018 2_50_38 PM_42","JP.E1.4.40-60.16",26.64,0.006,0.101,0.023,0.38,"JP","E","JP.E1",NA,"16",4,40,60,50,36,0.0236554534857069,"7-12"
"44","_7_12_2018 2_55_40 PM_43","JP.E1.3.40-60.16",28.861,0.005,0.105,0.017,0.364,"JP","E","JP.E1",NA,"16",3,40,60,50,37,0.0174983174715378,"7-12"
"45","_7_12_2018 3_00_42 PM_44","JP.E1.1.40-60.16",27.322,0.006,0.166,0.023,0.608,"JP","E","JP.E1",NA,"16",1,40,60,50,38,0.023692964684473,"7-12"
"46","_7_12_2018 3_05_44 PM_45","JP.E1.4.20-40.16",27.549,0.007,0.136,0.024,0.494,"JP","E","JP.E1",NA,"16",4,20,40,30,39,0.0247427112326335,"7-12"
"47","_7_12_2018 3_10_45 PM_46","JP.E1.3.20-40.16",25.477,0.007,0.162,0.026,0.637,"JP","E","JP.E1",NA,"16",3,20,40,30,40,0.0268258900424683,"7-12"
"48","_7_12_2018 3_15_47 PM_47","JP.E1.2.20-40.16",26.594,0.006,0.156,0.023,0.588,"JP","E","JP.E1",NA,"16",2,20,40,30,41,0.023749455074549,"7-12"
"49","_7_12_2018 3_20_49 PM_48","JP.E1.1.20-40.16",26.474,0.005,0.137,0.02,0.517,"JP","E","JP.E1",NA,"16",1,20,40,30,42,0.0206681261857704,"7-12"
"810","_7_20_2018 9_52_08 AM_7","BO.P.1.10-20.16",27.001,0.04,0.412,0.15,1.525,"BO","P","BO.P",NA,"16",1,10,20,15,2,0.15,"7-20"
"95","_7_20_2018 9_57_09 AM_8","BO.P.1.10-20.16",27.995,0.042,0.43,0.152,1.536,"BO","P","BO.P",NA,"16",1,10,20,15,3,0.152,"7-20"
"101","_7_20_2018 10_02_10 AM_9","BO.P.3.10-20.16",28.253,0.042,0.379,0.149,1.341,"BO","P","BO.P",NA,"16",3,10,20,15,4,0.149,"7-20"
"111","_7_20_2018 10_07_12 AM_10","BO.P.2.10-20.16",27.188,0.047,0.408,0.171,1.499,"BO","P","BO.P",NA,"16",2,10,20,15,5,0.171,"7-20"
"121","_7_20_2018 10_12_13 AM_11","BO.P.4.0-10.16",26.832,0.047,0.45,0.175,1.678,"BO","P","BO.P",NA,"16",4,0,10,5,6,0.175,"7-20"
"131","_7_20_2018 10_17_14 AM_12","BO.P.3.0-10.16",28.483,0.055,0.543,0.194,1.905,"BO","P","BO.P",NA,"16",3,0,10,5,7,0.194,"7-20"
"141","_7_20_2018 10_22_15 AM_13","BO.P.4.10-20.16",27.673,0.046,0.38,0.166,1.374,"BO","P","BO.P",NA,"16",4,10,20,15,8,0.166,"7-20"
"151","_7_20_2018 10_27_16 AM_14","JP.N.2.10-20.16",27.606,0.025,0.092,0.09,0.334,"JP","N","JP.N",NA,"16",2,10,20,15,9,0.09,"7-20"
"161","_7_20_2018 10_32_17 AM_15","JP.N.3.10-20.16",26.622,0.023,0.077,0.086,0.29,"JP","N","JP.N",NA,"16",3,10,20,15,10,0.086,"7-20"
"171","_7_20_2018 10_37_19 AM_16","JP.N.1.10-20.16",27.959,0.024,0.086,0.084,0.307,"JP","N","JP.N",NA,"16",1,10,20,15,11,0.084,"7-20"
"181","_7_20_2018 10_42_20 AM_17","JP.N.4.0-10.16",28.043,0.024,0.134,0.085,0.476,"JP","N","JP.N",NA,"16",4,0,10,5,12,0.085,"7-20"
"191","_7_20_2018 10_47_21 AM_18","JP.N.3.0-10.16",26.876,0.023,0.132,0.084,0.491,"JP","N","JP.N",NA,"16",3,0,10,5,13,0.084,"7-20"
"221","_7_20_2018 11_02_28 AM_21","It.E1.1.20-40.16",25.63,0.036,0.721,0.14,2.814,"It","E","It.E1",NA,"16",1,20,40,30,16,0.14,"7-20"
"231","_7_20_2018 11_07_30 AM_22","It.E1.2.20-40.16",27.56,0.04,0.806,0.146,2.923,"It","E","It.E1",NA,"16",2,20,40,30,17,0.146,"7-20"
"241","_7_20_2018 11_12_31 AM_23","It.E1.1.40-60.16",27.183,0.032,0.618,0.117,2.273,"It","E","It.E1",NA,"16",1,40,60,50,18,0.117,"7-20"
"251","_7_20_2018 11_17_32 AM_24","It.E1.4.20-40.16",25.542,0.032,0.481,0.124,1.882,"It","E","It.E1",NA,"16",4,20,40,30,19,0.124,"7-20"
"261","_7_20_2018 11_22_34 AM_25","It.E1.3.20-40.16",27.407,0.04,0.765,0.145,2.792,"It","E","It.E1",NA,"16",3,20,40,30,20,0.145,"7-20"
"271","_7_20_2018 11_27_36 AM_26","It.E1.2.40-60.16",25.576,0.035,0.688,0.137,2.69,"It","E","It.E1",NA,"16",2,40,60,50,21,0.137,"7-20"
"281","_7_20_2018 11_32_38 AM_27","It.E1.3.40-60.16",25.393,0.03,0.53,0.119,2.089,"It","E","It.E1",NA,"16",3,40,60,50,22,0.119,"7-20"
"291","_7_20_2018 11_37_40 AM_28","It.E1.4.40-60.16",26.825,0.025,0.389,0.094,1.451,"It","E","It.E1",NA,"16",4,40,60,50,23,0.094,"7-20"
"301","_7_20_2018 11_42_41 AM_29","It.E1.5.40-60.16",25.41,0.017,0.222,0.068,0.872,"It","E","It.E1",NA,"16",5,40,60,50,24,0.068,"7-20"
"311","_7_20_2018 11_47_43 AM_30","It.E1.2.60-100.16",25.879,0.027,0.475,0.103,1.835,"It","E","It.E1",NA,"16",2,60,100,80,25,0.103,"7-20"
"321","_7_20_2018 11_52_45 AM_31","It.E1.1.60-100.16",27.308,0.025,0.476,0.093,1.744,"It","E","It.E1",NA,"16",1,60,100,80,26,0.093,"7-20"
"351","_7_20_2018 12_07_59 PM_34","BO.P.1.10-20.16",26.156,0.039,0.404,0.147,1.545,"BO","P","BO.P",NA,"16",1,10,20,15,29,0.147,"7-20"
"361","_7_20_2018 12_13_01 PM_35","It.E1.3.60-100.16",28.503,0.034,0.658,0.121,2.307,"It","E","It.E1",NA,"16",3,60,100,80,30,0.121,"7-20"
"371","_7_20_2018 12_18_03 PM_36","It.E1.4.60-100.16",26.028,0.018,0.373,0.07,1.434,"It","E","It.E1",NA,"16",4,60,100,80,31,0.07,"7-20"
"381","_7_20_2018 12_23_04 PM_37","It.E2.1.10-20.16",27.294,0.05,0.976,0.183,3.576,"It","E","It.E2",NA,"16",1,10,20,15,32,0.183,"7-20"
"391","_7_20_2018 12_28_06 PM_38","It.E2.3.20-40.16",27.668,0.032,0.579,0.116,2.094,"It","E","It.E2",NA,"16",3,20,40,30,33,0.116,"7-20"
"401","_7_20_2018 12_33_08 PM_39","It.E2.4.20-40.16",28.652,0.034,0.623,0.119,2.174,"It","E","It.E2",NA,"16",4,20,40,30,34,0.119,"7-20"
"411","_7_20_2018 12_38_09 PM_40","It.E2.3.40-60.16",27.25,0.024,0.442,0.09,1.621,"It","E","It.E2",NA,"16",3,40,60,50,35,0.09,"7-20"
"421","_7_20_2018 12_43_11 PM_41","It.E2.4.40-60.16",27.758,0.025,0.455,0.092,1.639,"It","E","It.E2",NA,"16",4,40,60,50,36,0.092,"7-20"
"431","_7_20_2018 12_48_13 PM_42","It.E2.1.60-100.16",28.12,0.023,0.426,0.082,1.516,"It","E","It.E2",NA,"16",1,60,100,80,37,0.082,"7-20"
"441","_7_20_2018 12_53_14 PM_43","It.E2.2.60-100.16",27.08,0.032,0.618,0.117,2.283,"It","E","It.E2",NA,"16",2,60,100,80,38,0.117,"7-20"
"451","_7_20_2018 12_58_16 PM_44","It.E2.3.60-100.16",26.95,0.022,0.427,0.081,1.585,"It","E","It.E2",NA,"16",3,60,100,80,39,0.081,"7-20"
"461","_7_20_2018 1_03_18 PM_45","BO.P.4.10-20.16",28.418,0.033,0.374,0.117,1.314,"BO","P","BO.P",NA,"16",4,10,20,15,40,0.117,"7-20"
"491","_7_20_2018 1_24_14 PM_48","JP.P.1.0-10.16",28.071,0.013,0.168,0.045,0.597,"JP","P","JP.P",NA,"16",1,0,10,5,43,0.045,"7-20"
"501","_7_20_2018 1_29_16 PM_49","JP.P.2.0-10.16",26.503,0.01,0.129,0.038,0.487,"JP","P","JP.P",NA,"16",2,0,10,5,44,0.038,"7-20"
"51","_7_20_2018 1_34_18 PM_50","JP.N.3.20-40.16",29.397,0.01,0.088,0.033,0.301,"JP","N","JP.N",NA,"16",3,20,40,30,45,0.033,"7-20"
"52","_7_20_2018 1_39_20 PM_51","JP.N.4.20-40.16",27.912,0.01,0.089,0.035,0.317,"JP","N","JP.N",NA,"16",4,20,40,30,46,0.035,"7-20"
"53","_7_20_2018 1_44_22 PM_52","JP.N.1.40-60.16",29.179,0.009,0.082,0.031,0.281,"JP","N","JP.N",NA,"16",1,40,60,50,47,0.031,"7-20"
"54","_7_20_2018 1_49_24 PM_53","JP.N.2.40-60.16",28.304,0.008,0.077,0.029,0.272,"JP","N","JP.N",NA,"16",2,40,60,50,48,0.029,"7-20"
"55","_7_20_2018 1_54_26 PM_54","JP.N.3.40-60.16",29.337,0.011,0.12,0.038,0.41,"JP","N","JP.N",NA,"16",3,40,60,50,49,0.038,"7-20"
"56","_7_20_2018 1_59_28 PM_55","JP.N.4.40-60.16",27.251,0.009,0.089,0.032,0.326,"JP","N","JP.N",NA,"16",4,40,60,50,50,0.032,"7-20"
"57","_7_20_2018 2_04_30 PM_56","JP.N.3.60-100.16",26.439,0.007,0.069,0.026,0.259,"JP","N","JP.N",NA,"16",3,60,100,80,51,0.026,"7-20"
