Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	Sn	Sn	Sn	Sn	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Eu.E2.3.20-40.04	TQ Powders	8/22/2018 1:03:43 PM	8.8305	< 0.0020	(0.0)	4.1060	0.0020	14.46	0.03	818.7927	0.0062	26.55	0.04	2775.8849	0.00001	< 0.0016	(0.0)	10.5918	0.0016	0.03108	0.00059	11.6961	0.00044	0.00632	0.00032	5.7306	0.00059	0.02244	0.00028	55.4230	0.00026	0.09576	0.00040	396.4929	0.00014	7674	9	7038.0096	0.1	26.9	0.3	73.9465	0.4	33.1	0.3	101.9979	0.4	12350	20	7712.4664	0.1	< 3.0	(0.0)	0.6077	3.0	17.3	0.6	25.4716	1.0	< 0.5	(0.0)	0.0000	0.5	16.8	0.4	44.7942	0.5	19.3	0.4	67.5981	0.6	< 0.5	(0.0)	0.0000	0.5	2.8	0.2	15.5322	0.3	1.2	0.1	7.8073	0.3	10.7	0.2	77.9289	0.2	12.9	0.1	179.3003	0.2	795.7	1.9	1747.7496	0.1	26.4	0.4	58.3853	0.7	4.4	0.4	14.3689	1.3	0.5	0.1	3.0729	0.4	2.9	0.1	35.4491	0.8	3.0	0.3	7.5839	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	26.2181	1.5	< 2.0	(0.0)	28.2831	2.0	17.1	0.9	15.3262	2.1	< 1.6	(0.0)	23.1644	1.6	< 1.2	(0.0)	2.0600	1.2																	3.0	0.4	6.8391	0.7	< 0.7	(0.0)	4.9748	0.7	< 0.7	(0.0)	0.0000	0.7	5.5	0.3	17.5510	0.5	
Eu.E2.2.20-40.04	TQ Powders	8/22/2018 12:49:53 PM	9.1674	0.0569	0.0021	5.6416	0.011	16.52	0.04	929.8814	0.0050	23.46	0.03	2409.3373	0.00001	< 0.00030	(0.0)	8.7329	0.00030	0.03086	0.00059	12.0915	0.00047	0.00669	0.00030	6.1182	0.00058	0.02691	0.00030	68.5471	0.00026	0.02283	0.00021	102.4338	0.00018	8512	9	8100.8746	0.1	31.5	0.3	87.6327	0.4	41.3	0.4	131.6144	0.4	20280	20	13050.3755	0.1	< 11	(4.7)	1.9913	11	21.2	0.6	30.3494	1.0	< 0.5	(0.0)	0.0000	0.5	23.2	0.4	60.1450	0.5	26.2	0.4	88.4498	0.6	< 0.5	(0.0)	0.0000	0.5	4.1	0.3	22.2349	0.3	2.2	0.2	13.2046	0.3	17.2	0.2	122.1109	0.2	11.3	0.1	152.2367	0.2	864.8	2.0	1855.4489	0.1	33.1	0.5	70.8079	0.8	5.3	0.4	16.5430	1.3	0.6	0.1	3.4304	0.5	4.2	0.1	37.6847	0.8	2.4	0.3	5.9286	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	36.2554	1.5	< 2.0	(0.0)	38.5050	2.0	23.5	1.0	19.4875	2.2	< 1.6	(0.0)	24.9930	1.6	< 1.2	(0.0)	2.7687	1.2																	2.5	0.4	5.5694	0.7	< 0.7	(0.0)	4.6003	0.7	< 0.1	(0.1)	0.6176	0.1	10.9	0.4	33.8316	0.5	
Eu.E2.1.20-40.04	TQ Powders	8/22/2018 12:36:03 PM	9.0857	0.0797	0.0028	5.9849	0.011	16.16	0.04	919.1401	0.0050	23.77	0.03	2476.3537	0.00001	< 0.00030	(0.0)	9.1806	0.00030	0.02968	0.00057	11.6893	0.00048	0.00711	0.00030	6.4428	0.00059	0.02684	0.00030	68.9530	0.00027	0.1039	0.0004	450.4459	0.00014	8752	10	8373.9633	0.1	37.2	0.3	100.6156	0.3	40.6	0.4	130.0919	0.5	19470	20	12584.3427	0.1	< 3.0	(0.0)	0.8516	3.0	19.4	0.6	28.1982	1.0	2.8	0.5	5.1840	0.7	22.0	0.4	57.5353	0.5	26.5	0.4	90.2895	0.6	< 0.5	(0.0)	0.0000	0.5	4.7	0.2	25.0899	0.3	1.9	0.2	11.5816	0.3	15.8	0.2	112.9523	0.2	16.9	0.2	229.2897	0.2	812.3	1.9	1759.3096	0.1	32.0	0.5	69.1812	0.8	4.9	0.4	15.6857	1.3	0.5	0.1	3.2316	0.5	3.8	0.1	37.0267	0.8	2.4	0.3	6.1028	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	36.4053	1.5	< 2.0	(0.0)	31.6449	2.0	21.3	1.0	17.4256	2.1	< 1.6	(0.0)	20.6936	1.6	1.6	0.2	5.0244	1.3																	3.0	0.4	6.6104	0.7	< 0.7	(0.0)	4.1728	0.7	< 0.7	(0.0)	0.0000	0.7	9.5	0.4	29.7949	0.5	
Eu.E2.4.60-100.04	TQ Powders	8/22/2018 12:16:57 PM	9.1167	0.0456	0.0017	5.4609	0.011	18.08	0.04	1019.4181	0.0042	21.25	0.03	2174.1449	0.00001	< 0.00030	(0.0)	2.6384	0.00030	0.03608	0.00063	14.7551	0.00041	0.00399	0.00026	4.3694	0.00056	0.03000	0.00032	79.7702	0.00030	0.00888	0.00015	45.0449	0.00021	12890	10	12833.0212	0.1	38.8	0.3	115.8118	0.3	43.3	0.4	142.2462	0.5	20940	20	13321.2825	0.1	< 0.4	(0.4)	1.4985	0.4	23.5	0.7	32.9788	1.0	< 0.1	(0.1)	0.1203	0.1	31.0	0.5	79.2147	0.5	40.8	0.5	139.2875	0.6	< 0.5	(0.0)	0.0000	0.5	4.4	0.3	23.1891	0.3	1.5	0.2	9.5491	0.3	21.1	0.2	151.8008	0.2	16.4	0.2	211.0423	0.2	1479	3	3014.1124	0.1	51.1	0.6	102.8887	0.8	7.5	0.6	21.1917	1.7	0.8	0.1	3.9363	0.5	4.0	0.1	37.3207	0.8	3.0	0.3	7.3032	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	54.9598	1.5	< 2.0	(0.0)	47.9784	2.0	40.2	1.2	30.5396	2.2	< 1.6	(0.0)	26.5362	1.6	< 1.2	(0.0)	3.5112	1.2																	2.5	0.4	5.6223	0.8	< 0.7	(0.0)	7.0442	0.7	< 0.7	(0.0)	0.0000	0.7	18.1	0.5	52.9520	0.6	
Eu.E2.3.60-100.04	TQ Powders	8/22/2018 12:03:06 PM	9.7058	0.0792	0.0028	5.9671	0.010	19.12	0.04	1083.5393	0.00001	17.89	0.03	1821.4562	0.00001	< 0.00030	(0.0)	2.2306	0.00030	0.03921	0.00067	16.3820	0.00046	0.00512	0.00026	5.2893	0.00057	0.02852	0.00031	78.0212	0.00027	0.01047	0.00014	57.3614	0.00019	10540	10	10789.7791	0.1	42.5	0.4	121.8991	0.5	46.2	0.4	156.7733	0.5	33780	40	22920.7950	0.1	< 11	(3.8)	2.1749	11	26.6	0.8	36.8861	1.1	3.6	0.6	6.2527	0.8	30.0	0.5	74.1182	0.6	37.8	0.5	121.6561	0.7	< 0.5	(0.0)	0.0000	0.5	8.3	0.3	42.2738	0.3	1.7	0.2	9.7745	0.3	50.5	0.3	340.4395	0.2	13.8	0.2	173.7662	0.2	1026	2	2108.7320	0.1	42.5	0.5	86.4900	0.8	5.8	0.5	17.3404	1.4	0.4	0.1	2.8942	0.4	4.4	0.1	37.9244	0.8	2.5	0.3	6.0754	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	51.0357	1.5	< 2.0	(0.0)	40.2822	2.0	24.1	1.2	19.0671	2.5	< 1.6	(0.0)	22.0822	1.6	< 1.2	(0.0)	3.4229	1.2																	4.2	0.5	8.6871	0.9	< 0.7	(0.0)	5.0664	0.7	< 0.7	(0.0)	0.0865	0.7	15.7	0.6	46.0798	0.6	
Eu.E2.2.60-100.04	TQ Powders	8/22/2018 11:49:11 AM	9.4249	0.0991	0.0033	6.2842	0.0098	19.28	0.04	1104.9228	0.00001	18.73	0.03	1911.6663	0.00001	< 0.00030	(0.0)	7.5977	0.00030	0.03836	0.00064	15.8570	0.00045	0.00265	0.00021	3.4565	0.00056	0.03052	0.00031	82.7641	0.00026	0.00582	0.00011	34.6827	0.00019	9824	10	9979.5186	0.1	42.5	0.4	119.5287	0.5	44.4	0.4	149.9327	0.4	29540	30	20017.9518	0.1	< 11	(6.8)	2.4898	10	25.7	0.7	36.2816	1.1	< 0.5	(0.0)	0.0000	0.5	30.9	0.5	78.3998	0.5	38.2	0.5	125.9145	0.6	2.9	0.3	7.3883	0.6	10.4	0.3	54.2198	0.3	1.6	0.2	9.6118	0.3	13.3	0.2	92.4122	0.2	13.6	0.2	177.5171	0.2	875.8	2.0	1838.8153	0.1	37.9	0.5	79.0275	0.8	5.4	0.4	16.6439	1.3	0.5	0.1	3.1750	0.5	4.2	0.1	37.7030	0.8	2.6	0.3	6.4120	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	58.6505	1.5	< 2.0	(0.0)	40.7292	2.0	26.8	1.1	21.3544	2.3	< 1.6	(0.0)	24.2727	1.6	< 1.2	(0.0)	2.6056	1.2																	2.6	0.4	5.7092	0.8	< 0.7	(0.0)	0.4053	0.7	< 0.7	(0.0)	0.0000	0.7	12.9	0.5	38.9567	0.6	
Eu.E2.1.60-100.04	TQ Powders	8/22/2018 11:35:24 AM	9.7602	0.0977	0.0033	6.2497	0.010	19.40	0.04	1100.2831	0.00001	18.38	0.03	1862.2512	0.00001	< 0.00030	(0.0)	8.3883	0.00030	0.04286	0.00067	17.6916	0.00046	0.00292	0.00022	3.6537	0.00057	0.03072	0.00032	83.0881	0.00027	0.03580	0.00025	171.1635	0.00019	10530	10	10640.7046	0.1	47.7	0.4	131.8176	0.5	49.7	0.4	166.6512	0.5	33340	30	22370.6897	0.1	< 3.0	(0.0)	1.4664	3.0	25.9	0.7	35.7683	1.1	< 0.3	(0.3)	0.4850	0.3	30.3	0.5	74.4130	0.5	37.9	0.5	121.0664	0.6	< 0.6	(0.6)	1.4213	0.6	8.1	0.3	40.9796	0.3	1.7	0.2	9.6330	0.3	18.1	0.2	121.0664	0.2	15.7	0.2	197.3406	0.2	920.8	2.1	1880.5133	0.1	39.9	0.5	80.9662	0.8	6.7	0.5	19.3510	1.4	0.4	0.1	2.7609	0.3	4.6	0.1	38.2460	0.8	2.8	0.3	6.7544	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	51.6069	1.5	< 2.0	(0.0)	43.5583	2.0	23.9	1.0	19.3223	2.3	< 1.6	(0.0)	24.6690	1.6	< 1.2	(0.0)	3.0230	1.2																	2.4	0.4	5.1210	0.8	< 0.7	(0.0)	6.0573	0.7	< 0.7	(0.0)	0.0000	0.7	16.0	0.5	46.4842	0.6	
Eu.E2.4.10-20.04	TQ Powders	8/22/2018 11:21:32 AM	8.4938	< 0.0020	(0.0)	4.7743	0.0020	12.86	0.03	712.7761	0.0064	26.88	0.04	2799.0004	0.00001	0.02646	0.00048	14.9204	0.0015	0.04642	0.00068	17.2262	0.00033	0.01104	0.00035	8.8133	0.00059	0.02291	0.00028	56.0457	0.00025	0.04886	0.00030	200.7897	0.00016	7263	9	6613.1775	0.1	16.6	0.2	50.2703	0.3	29.6	0.3	90.8803	0.4	7398	13	4609.6777	0.1	< 3.0	(0.0)	0.0824	3.0	15.0	0.6	22.7093	0.9	1.0	0.5	1.9774	0.7	12.7	0.3	35.1403	0.5	13.5	0.3	49.2602	0.5	1.9	0.3	5.1495	0.5	3.1	0.2	17.3024	0.3	0.8	0.1	4.9126	0.2	8.5	0.1	64.2350	0.2	7.2	0.1	104.8852	0.2	775.0	1.9	1749.1643	0.1	20.5	0.4	47.1207	0.7	5.0	0.4	16.1193	1.2	0.9	0.1	4.2235	0.5	4.8	0.1	39.0361	0.8	3.1	0.3	7.9472	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	22.6044	1.5	< 2.0	(0.0)	31.8262	2.0	19.6	0.9	17.1479	2.0	< 1.6	(0.0)	23.0183	1.6	< 1.2	(0.0)	2.2761	1.2																	2.1	0.3	4.9538	0.7	< 0.7	(0.0)	0.6076	0.7	< 0.1	(0.1)	0.2678	0.1	3.9	0.3	13.1210	0.5	
Eu.E2.3.10-20.04	TQ Powders	8/22/2018 11:07:45 AM	8.5728	0.01667	0.00068	5.0442	0.011	13.05	0.03	739.5514	0.0064	26.63	0.04	2846.6184	0.00001	0.03000	0.00061	12.9608	0.0015	0.04350	0.00066	16.5592	0.00037	0.00771	0.00034	6.7594	0.00059	0.02339	0.00028	59.0165	0.00026	0.1739	0.0005	733.6685	0.00100	7361	9	6897.7292	0.1	32.5	0.3	85.0817	0.4	39.2	0.4	123.7348	0.4	10990	20	7014.5519	0.1	< 3.0	(0.0)	0.0000	3.0	16.8	0.6	25.3235	1.0	2.0	0.5	3.9180	0.7	15.0	0.3	41.1971	0.5	16.4	0.3	59.3748	0.5	< 0.5	(0.0)	0.0000	0.5	3.2	0.2	17.8061	0.3	1.0	0.1	6.6043	0.2	6.3	0.1	47.1431	0.2	13.6	0.1	195.0386	0.2	571.8	1.6	1286.5033	0.1	19.4	0.4	44.5696	0.7	4.1	0.3	13.8435	1.1	< 0.5	(0.3)	2.5553	0.5	2.3	0.1	34.4971	0.8	2.9	0.3	7.4303	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	23.3578	1.5	< 2.0	(0.0)	28.7414	2.0	16.1	0.9	14.4721	2.1	< 1.6	(0.0)	20.4074	1.6	< 1.2	(0.5)	3.7906	1.2																	2.6	0.4	6.0309	0.7	< 0.7	(0.0)	3.5357	0.7	< 0.7	(0.0)	0.0000	0.7	3.8	0.3	12.6140	0.5	
Eu.E2.2.10-20.04	TQ Powders	8/22/2018 10:53:56 AM	8.8776	< 0.0020	(0.0)	4.1433	0.0020	15.69	0.03	941.8369	0.0048	22.08	0.03	2432.9930	0.00001	< 0.00030	(0.0)	10.8756	0.00030	0.04049	0.00065	16.8659	0.00043	0.00758	0.00031	7.1184	0.00058	0.03079	0.00031	84.4796	0.00026	0.07054	0.00034	330.2909	0.00017	9675	10	9922.4122	0.1	60.1	0.4	166.3308	0.4	52.5	0.4	179.4729	0.5	22770	30	15636.4503	0.1	< 10	(3.8)	1.9955	10	23.3	0.7	34.6113	1.0	< 0.4	(0.4)	0.7650	0.4	28.6	0.4	76.8499	0.5	29.1	0.4	101.8050	0.6	3.0	0.3	7.9488	0.6	7.5	0.2	41.4071	0.3	2.8	0.2	17.6826	0.3	17.8	0.2	130.6181	0.2	16.0	0.2	221.8690	0.2	926.4	2.1	2039.5339	0.1	31.5	0.5	69.4315	0.8	5.2	0.4	16.6046	1.4	0.3	0.1	2.7157	0.3	4.0	0.1	37.4509	0.8	2.9	0.3	7.2290	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	30.9849	1.5	< 2.0	(0.0)	0.0000	2.0	28.1	1.1	22.9818	2.1	< 1.6	(0.0)	24.4230	1.6	< 1.2	(0.0)	2.7826	1.2																	2.6	0.4	5.8757	0.7	< 0.7	(0.0)	0.9534	0.7	< 0.4	(0.4)	1.4856	0.4	9.7	0.4	31.2189	0.5	
Eu.E2.1.10-20.04	TQ Powders	8/22/2018 10:40:06 AM	8.8032	0.0605	0.0022	5.6761	0.011	15.63	0.04	864.9917	0.0051	23.53	0.03	2404.2496	0.00001	0.02190	0.00051	10.3843	0.0015	0.03740	0.00062	14.3732	0.00042	0.00614	0.00031	5.7206	0.00058	0.02820	0.00030	71.5424	0.00026	0.1664	0.0005	708.3124	0.00100	7768	9	7330.9139	0.1	33.8	0.3	87.1022	0.3	38.1	0.4	120.9284	0.4	14910	20	9555.2951	0.1	< 3.0	(0.0)	1.0843	3.0	18.2	0.6	26.9097	1.0	2.9	0.5	5.4945	0.7	16.0	0.4	43.0701	0.5	18.8	0.4	66.0387	0.5	2.3	0.3	6.0680	0.5	4.9	0.2	26.9618	0.3	1.4	0.1	8.8726	0.2	10.1	0.2	74.1085	0.2	14.3	0.1	199.3777	0.2	490.6	1.5	1082.7942	0.1	19.4	0.4	43.9009	0.7	3.5	0.3	12.2016	1.0	< 0.5	(0.0)	0.0000	0.5	4.2	0.1	37.9122	0.8	2.2	0.3	5.6152	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	24.9386	1.5	< 2.0	(0.0)	18.5016	2.0	10.5	0.8	10.5720	2.1	< 1.6	(0.0)	19.3821	1.6	< 1.2	(0.3)	3.6387	1.2																	2.6	0.4	5.9846	0.7	< 0.7	(0.0)	0.3128	0.7	< 0.7	(0.0)	0.1043	0.7	5.0	0.3	16.0040	0.5	
Eu.E2.4.0-10.04	TQ Powders	8/22/2018 10:26:17 AM	8.5290	< 0.0020	(0.0)	4.4200	0.0020	10.24	0.03	576.2058	0.0076	29.83	0.04	3186.7947	0.00001	0.0531	0.0011	12.7251	0.0016	0.06344	0.00079	22.9040	0.00019	0.00921	0.00037	7.4355	0.00061	0.02201	0.00027	52.1979	0.00023	0.09040	0.00040	357.1093	0.00014	5237	7	4603.8642	0.1	39.5	0.4	91.8744	0.3	31.1	0.3	92.7695	0.4	5389	11	3265.2789	1.4	< 3.0	(0.0)	0.0000	3.0	14.2	0.6	21.1850	0.9	< 0.5	(0.5)	0.9176	0.5	9.8	0.3	26.7505	0.5	8.9	0.3	32.8746	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.2	(0.2)	1.3266	0.2	< 0.2	(0.2)	1.1969	0.2	3.6	0.1	26.9301	0.2	5.2	0.1	75.6336	0.2	299.7	1.1	674.8857	0.1	9.6	0.3	23.5078	0.7	2.2	0.2	8.8016	0.9	< 0.5	(0.1)	2.0463	0.5	2.0	0.1	33.8380	0.8	2.7	0.3	6.9525	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	16.9375	1.5	< 2.0	(0.0)	19.7727	2.0	6.9	0.6	8.5378	2.0	< 1.6	(0.0)	21.4942	1.6	< 1.2	(0.0)	1.4961	1.2																	2.6	0.3	6.0942	0.7	< 0.7	(0.0)	3.6206	0.7	< 0.1	(0.1)	0.3790	0.1	3.7	0.3	12.0986	0.4	
Eu.E2.3.0-10.04	TQ Powders	8/22/2018 10:12:29 AM	8.3678	< 0.0020	(0.0)	4.0813	0.0020	11.12	0.03	645.9302	0.0067	28.08	0.04	3135.8612	0.00001	0.04157	0.00078	14.2320	0.0016	0.06728	0.00080	25.9128	0.00023	0.00812	0.00036	7.1192	0.00060	0.02339	0.00028	59.9345	0.00025	0.2699	0.0007	1154.5253	0.00001	6560	8	6230.3790	0.1	28.8	0.3	76.3144	0.4	57.4	0.4	184.1301	0.4	9670	15	6278.1132	0.1	< 3.0	(0.0)	0.2660	3.0	15.6	0.6	24.1831	0.9	1.9	0.5	3.8621	0.7	15.5	0.3	43.8551	0.5	13.6	0.3	50.7387	0.5	< 0.5	(0.0)	0.0000	0.5	2.1	0.2	12.1713	0.3	0.9	0.1	6.0112	0.2	6.4	0.1	49.6961	0.2	16.9	0.1	249.1720	0.2	498.2	1.5	1142.8442	0.1	16.4	0.4	38.8506	0.7	3.1	0.3	11.3183	1.0	0.5	0.1	3.3185	0.5	2.1	0.1	34.2072	0.8	2.8	0.3	7.2805	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	24.1760	1.5	< 2.0	(0.0)	21.7155	2.0	14.1	0.8	13.4587	2.0	< 1.6	(0.0)	21.1190	1.6	< 1.2	(0.0)	3.2450	1.2																	2.5	0.3	6.0431	0.7	< 0.7	(0.0)	3.1279	0.7	< 0.7	(0.0)	0.0000	0.7	4.0	0.3	13.4374	0.5	
Eu.E2.2.0-10.04	TQ Powders	8/22/2018 9:58:38 AM	8.6559	< 0.011	(0.0083)	4.9233	0.011	11.94	0.03	695.7926	0.0068	29.10	0.04	3212.7554	0.00001	0.00566	0.00014	10.2732	0.0017	0.04472	0.00069	16.8734	0.00037	0.00561	0.00031	5.3010	0.00061	0.02357	0.00028	58.8012	0.00024	0.06998	0.00035	294.0221	0.00015	6099	8	5677.4557	0.1	30.4	0.3	81.7949	0.3	39.0	0.4	122.9622	0.4	12030	20	7664.4732	0.1	< 3.0	(0.0)	0.0000	3.0	17.2	0.6	25.8271	1.0	3.6	0.5	6.9575	0.7	16.2	0.4	44.1064	0.5	16.2	0.3	58.0846	0.5	< 0.5	(0.0)	0.0000	0.5	3.3	0.2	18.4374	0.3	1.2	0.1	7.7692	0.2	6.7	0.2	49.7251	0.2	9.5	0.1	134.7121	0.2	692.4	1.8	1544.2049	0.1	22.9	0.4	51.5592	0.7	3.6	0.4	12.4117	1.2	0.3	0.1	2.6343	0.3	4.2	0.1	37.9317	0.8	3.0	0.3	7.5610	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	29.2435	1.5	< 2.0	(0.0)	26.4698	2.0	13.0	0.8	12.2811	2.1	< 1.6	(0.0)	19.7129	1.6	< 1.2	(0.0)	3.2363	1.2																	2.3	0.4	5.2498	0.7	< 0.7	(0.0)	4.0375	0.7	< 0.7	(0.0)	0.0000	0.7	4.7	0.3	15.5279	0.5	
Eu.E2.1.0-10.04	TQ Powders	8/22/2018 9:44:51 AM	8.7640	0.01491	0.00063	5.0194	0.012	11.21	0.03	647.5826	0.0068	28.69	0.04	3181.2369	0.00001	0.01155	0.00028	10.4196	0.0017	0.04728	0.00069	18.0495	0.00037	0.00622	0.00033	5.7457	0.00061	0.02857	0.00031	71.7900	0.00026	0.3539	0.0008	1485.3049	0.00001	5982	8	5560.6032	0.1	37.8	0.4	97.5042	0.4	40.8	0.4	128.3101	0.4	13090	20	8316.9981	0.1	< 3.0	(0.0)	0.3871	3.0	18.3	0.6	27.1499	1.0	4.0	0.5	7.6166	0.7	17.4	0.4	46.8296	0.5	18.2	0.4	64.2390	0.5	< 0.5	(0.0)	0.0000	0.5	2.7	0.2	14.8147	0.3	1.0	0.1	6.2356	0.2	8.0	0.2	59.3217	0.2	32.6	0.2	458.2314	0.2	615.2	1.7	1359.5565	0.1	22.0	0.4	49.5072	0.7	4.3	0.3	14.2101	1.1	< 0.5	(0.0)	0.0000	0.5	4.4	0.1	38.1687	0.8	2.5	0.3	6.3841	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	31.2794	1.5	< 2.0	(0.0)	16.9584	2.0	11.7	0.8	11.5295	2.1	< 1.6	(0.0)	20.5900	1.6	< 1.2	(0.3)	3.5677	1.2																	3.0	0.4	6.6855	0.7	< 0.7	(0.0)	4.2687	0.7	< 0.7	(0.0)	0.0105	0.7	7.1	0.3	22.8498	0.5	
