McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Na	Na	Na	Na	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Sc	Sc	Sc	Sc	Ti	Ti	Ti	Ti	V	V	V	V	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Rb	Rb	Rb	Rb	Sr	Sr	Sr	Sr	Y	Y	Y	Y	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Tc	Tc	Tc	Tc	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	Te	Te	Te	Te	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	Po	Po	Po	Po	At	At	At	At	U	U	U	U	
Eu.E1.Ee1.1.0-10.16	TQ Powders	8/2/2018 3:56:15 PM	8.5427	< 0.010	(0.0)	1.8785	0.0100	0.0733	0.0026	5.8349	0.011	15.32	0.03	832.2987	0.0050	21.76	0.03	2210.0149	0.00001	0.05323	0.00092	15.7087	0.0014	0.08101	0.00087	31.5758	0.00001	0.00826	0.00031	7.2921	0.00057	0.04244	0.00037	109.7675	0.00027	0.3100	0.0007	1344.1982	0.00001					9001	10	8634.9263	0.1	< 1.0	(0.0)	0.0000	1.0	32.9	0.3	85.4578	0.4	54.1	0.4	173.7261	0.4	12260	20	7952.3419	0.1	< 0.2	(0.2)	1.3196	0.2	20.0	0.6	30.0393	0.9	5.6	0.5	10.9429	0.7	18.1	0.4	50.1012	0.5	19.1	0.3	69.1547	0.5	1.9	0.3	5.3105	0.5	3.4	0.2	19.3539	0.3	1.7	0.1	10.9322	0.2	6.3	0.1	47.5479	0.2	0.3	0.1	6.6623	0.2	15.8	0.1	226.9682	0.2	3.4	0.1	55.8516	0.3	456.0	1.4	1025.9801	0.1	17.9	0.4	41.3194	0.7	2.7	0.3	10.2521	1.0					0.9	0.2	3.1851	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.1602	0.4	2.9	0.1	35.4966	0.8	2.4	0.3	6.2209	0.7	4.2	0.2	17.0080	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	8.0374	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	21.8355	1.5	< 2.0	(0.0)	0.0000	2.0	15.6	0.9	13.7537	2.0	< 1.6	(0.0)	17.7554	1.6	< 1.2	(0.3)	3.5940	1.2																	2.8	0.3	6.5121	0.7	< 0.7	(0.0)	2.5104	0.7	< 0.7	(0.0)	0.0000	0.7	3.9	0.3	12.9169	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	4.8277	0.4	
Eu.E1.Ee1.4.-0-10.16	TQ Powders	8/2/2018 3:42:26 PM	8.5644	< 0.010	(0.0)	1.9009	0.0100	0.0538	0.0020	5.5648	0.011	15.19	0.04	819.8887	0.0052	23.50	0.03	2348.2487	0.00001	0.03979	0.00081	12.5592	0.0015	0.05982	0.00077	22.4290	0.00025	0.00692	0.00030	6.1578	0.00059	0.03705	0.00034	91.6700	0.00025	0.2271	0.0006	940.5088	0.00001					7125	8	6549.3340	0.1	< 1.0	(0.0)	0.0000	1.0	26.4	0.3	67.2720	0.4	33.5	0.3	103.9400	0.4	9514	14	5973.1777	0.1	< 3.0	(0.0)	0.4691	3.0	17.1	0.6	25.6164	0.9	2.5	0.5	4.8847	0.7	15.6	0.3	42.6362	0.5	14.6	0.3	52.6299	0.5	< 0.5	(0.0)	0.0000	0.5	2.5	0.2	13.7668	0.3	0.7	0.1	4.3646	0.2	4.2	0.1	31.7859	0.2	0.6	0.1	9.4328	0.2	12.0	0.1	172.5741	0.2	3.0	0.1	50.3048	0.3	420.4	1.4	946.7912	0.1	17.3	0.4	40.1556	0.7	3.5	0.3	12.4106	1.0					0.9	0.2	3.0771	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.8090	0.3	3.4	0.1	36.5933	0.8	2.8	0.3	7.2140	0.7	4.3	0.2	17.2497	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	12.1935	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	0.0000	1.5	< 2.0	(0.0)	14.1343	2.0	7.5	0.6	8.7801	2.0	< 1.6	(0.0)	20.2830	1.6	0.8	0.1	4.0179	0.7																	3.0	0.3	7.0262	0.7	< 0.7	(0.0)	3.4366	0.7	< 0.7	(0.0)	0.0000	0.7	3.0	0.3	9.8305	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	6.2613	0.4	
Eu.E1.Ee1.2.0-10.16	TQ Powders	8/2/2018 3:28:36 PM	8.7463	< 0.010	(0.0)	1.8690	0.0100	0.0588	0.0021	5.6323	0.011	16.13	0.04	867.4440	0.0050	21.91	0.03	2173.5182	0.00001	0.04259	0.00079	13.9718	0.0014	0.06710	0.00081	25.5906	0.00016	0.01033	0.00034	8.5576	0.00058	0.04666	0.00038	117.3703	0.00026	0.2694	0.0007	1136.4189	0.00001					8282	9	7735.3341	0.1	< 1.0	(0.0)	0.0000	1.0	32.2	0.3	82.3961	0.4	55.4	0.4	173.6012	0.4	12930	20	8199.0733	0.1	< 3.0	(0.0)	0.6696	3.0	20.5	0.6	30.0167	0.9	4.1	0.5	7.8493	0.7	20.0	0.4	53.8839	0.5	18.6	0.4	65.5960	0.5	< 0.5	(0.0)	0.0000	0.5	2.2	0.2	12.4126	0.3	0.8	0.1	5.3153	0.2	7.2	0.2	52.9980	0.2	0.6	0.1	9.7858	0.2	15.6	0.1	220.0267	0.2	4.6	0.1	70.0253	0.3	487.6	1.5	1080.4541	0.1	18.5	0.4	42.2748	0.7	3.1	0.3	11.2200	1.0					0.6	0.1	2.1137	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	2.6	0.1	34.8890	0.8	2.3	0.3	5.7759	0.7	4.2	0.2	16.8362	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	13.0634	0.7	< 1.0	(0.0)	8.0740	1.0	< 1.5	(0.0)	10.3229	1.5	< 2.0	(0.0)	10.5564	2.0	16.7	0.9	14.6890	2.0	< 1.6	(0.0)	20.3751	1.6	< 1.2	(0.0)	2.4928	1.2																	3.4	0.4	7.7669	0.7	< 0.7	(0.0)	4.6251	0.7	< 0.7	(0.0)	0.1236	0.7	4.8	0.3	15.4822	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	7.7257	0.4	
Eu.E1.E.1.10-20.04	TQ Powders	7/31/2018 4:12:01 PM	8.6138	< 0.010	(0.0)	1.6989	0.0100	0.0565	0.0021	5.6262	0.010	16.62	0.04	921.7339	0.0049	23.18	0.03	2339.6935	0.00001	0.02114	0.00049	10.1241	0.0015	0.04023	0.00064	15.4005	0.00038	0.00700	0.00030	6.2882	0.00057	0.03521	0.00033	88.7125	0.00025	0.09976	0.00041	423.2486	0.00015					7848	9	7384.0310	0.1	< 1.0	(0.0)	0.0000	1.0	30.5	0.3	79.0598	0.3	34.7	0.3	109.7765	0.4	12050	20	7709.8791	0.1	< 3.0	(0.0)	0.5378	3.0	19.1	0.6	28.4409	0.9	2.9	0.5	5.6778	0.7	19.4	0.4	52.9829	0.5	20.9	0.4	74.8048	0.5	< 0.5	(0.0)	0.0000	0.5	2.5	0.2	13.9929	0.3	1.2	0.1	7.3843	0.2	8.2	0.2	61.7323	0.2	0.5	0.1	8.0669	0.2	12.2	0.1	173.4276	0.2	4.2	0.1	66.5000	0.3	479.7	1.4	1073.4446	0.1	21.8	0.4	49.7196	0.7	3.5	0.3	12.3932	1.0					0.8	0.2	2.8478	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.9822	0.4	3.5	0.1	36.5564	0.8	2.9	0.3	7.3211	0.7	4.3	0.2	17.2210	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 3.0	(1.3)	20.8143	2.9	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	19.3598	1.5	< 2.0	(0.0)	26.0087	2.0	11.4	0.8	11.5212	2.0	< 1.6	(0.0)	20.9222	1.6	1.1	0.2	4.4264	1.0																	2.6	0.4	6.0915	0.7	< 0.7	(0.0)	4.8091	0.7	< 0.7	(0.0)	0.0000	0.7	5.2	0.3	16.9611	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	8.4806	0.4	
Eu.E1.E.3.0-10.04	TQ Powders	7/31/2018 3:57:14 PM	8.6683	< 0.010	(0.0)	2.0806	0.0100	0.0560	0.0020	5.6122	0.011	15.27	0.03	840.5411	0.0057	24.52	0.03	2487.7045	0.00001	0.02644	0.00060	10.6359	0.0015	0.04805	0.00069	18.0171	0.00033	0.00949	0.00033	7.8691	0.00058	0.02787	0.00030	69.0013	0.00025	0.1731	0.0005	717.4179	0.00100					6795	8	6253.4307	0.1	< 1.0	(0.0)	0.0000	1.0	31.5	0.3	79.4421	0.4	45.3	0.4	140.8205	0.4	11060	20	6947.4420	0.1	< 3.0	(0.0)	0.3785	3.0	18.3	0.6	27.1121	0.9	3.6	0.5	6.9673	0.7	17.3	0.4	46.8171	0.5	18.0	0.3	63.9744	0.5	< 0.5	(0.0)	0.0000	0.5	3.2	0.2	17.6485	0.3	0.9	0.1	5.9135	0.2	7.8	0.2	57.6926	0.2	0.3	0.1	5.6475	0.2	13.4	0.1	190.5217	0.2	3.7	0.1	59.1249	0.3	452.7	1.4	1009.7897	0.1	16.7	0.4	38.5485	0.7	2.9	0.3	10.7383	1.0					0.5	0.1	2.0282	0.5	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.7375	0.3	4.4	0.1	38.2997	0.8	2.5	0.3	6.3335	0.7	4.4	0.2	17.6940	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	12.9905	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	14.4713	1.5	< 2.0	(0.0)	22.8454	2.0	11.4	0.8	11.2132	2.0	< 1.6	(0.0)	19.7049	1.6	< 1.2	(0.5)	3.7139	1.2																	2.7	0.3	6.1079	0.7	< 0.7	(0.0)	3.5502	0.7	< 0.7	(0.0)	0.0000	0.7	3.7	0.3	12.0419	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.2792	0.4	
Eu.E1.T.2.0-10.04	TQ Powders	7/31/2018 3:42:27 PM	8.6730	< 0.010	(0.0)	1.9064	0.0100	0.0336	0.0013	5.2901	0.011	12.99	0.03	738.0236	0.0064	26.26	0.04	2823.5328	0.00001	0.01883	0.00043	10.8440	0.0016	0.05221	0.00071	20.1184	0.00033	0.01052	0.00034	8.7343	0.00058	0.03544	0.00033	89.9993	0.00025	0.2655	0.0007	1129.9376	0.00001					7112	8	6711.1115	0.1	< 1.0	(0.0)	0.0000	1.0	29.7	0.3	78.6724	0.4	50.6	0.4	160.9946	0.4	13000	20	8353.7338	0.1	< 3.0	(0.0)	0.9860	3.0	20.4	0.6	30.3177	0.9	5.6	0.5	10.8566	0.7	23.9	0.4	65.0672	0.5	24.2	0.4	85.7530	0.5	< 0.5	(0.0)	0.0000	0.5	3.1	0.2	17.5201	0.3	1.5	0.1	9.3413	0.2	9.1	0.2	67.7554	0.2	0.9	0.1	13.6175	0.2	24.4	0.2	346.0946	0.2	4.8	0.2	74.4915	0.3	550.9	1.6	1230.3284	0.1	23.9	0.4	54.0804	0.7	4.0	0.3	13.6550	1.1					0.9	0.2	3.3248	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.5028	0.5	3.6	0.1	36.8797	0.8	2.3	0.3	5.8031	0.7	3.6	0.2	15.1273	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 2.9	(1.6)	21.3966	2.9	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	25.2858	1.5	< 2.0	(0.0)	26.0219	2.0	14.5	0.9	13.2023	2.0	< 1.6	(0.0)	19.3468	1.6	< 1.2	(0.0)	2.3457	1.2																	2.5	0.3	5.6567	0.7	< 0.7	(0.0)	6.5285	0.7	< 0.7	(0.0)	0.0000	0.7	6.6	0.3	21.6510	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	8.8431	0.4	
Eu.E1.T.4.0-10.04	TQ Powders	7/31/2018 3:27:39 PM	8.5595	< 0.010	(0.0)	1.8323	0.0100	0.0555	0.0021	5.5981	0.011	13.69	0.03	762.5673	0.0062	24.56	0.03	2585.2313	0.00001	0.02433	0.00051	12.2562	0.0015	0.06821	0.00081	26.3479	0.00020	0.01168	0.00036	9.5854	0.00059	0.03532	0.00034	90.3678	0.00026	0.4105	0.0008	1756.8875	0.00001					6873	8	6502.7717	0.1	< 1.0	(0.0)	0.0000	1.0	43.0	0.4	110.6656	0.4	68.8	0.5	219.5033	0.4	11790	20	7607.5766	0.1	< 3.0	(0.0)	0.5383	3.0	20.4	0.6	30.4889	0.9	6.2	0.5	12.0713	0.7	21.8	0.4	60.0977	0.5	20.9	0.4	75.2542	0.5	< 0.5	(0.0)	0.0000	0.5	3.8	0.2	21.4198	0.3	1.0	0.1	6.5119	0.2	9.2	0.2	69.3531	0.2	0.6	0.1	10.4770	0.2	28.9	0.2	416.3774	0.2	4.0	0.1	64.1250	0.3	569.3	1.6	1283.4723	0.1	22.7	0.4	51.7938	0.7	3.9	0.3	13.3546	1.1					0.8	0.2	2.8679	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.5448	0.5	3.5	0.1	36.7160	0.8	2.9	0.3	7.4589	0.7	4.6	0.2	18.1549	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	15.6317	0.7	< 1.0	(0.0)	6.9666	1.0	< 1.5	(0.0)	19.1765	1.5	< 2.0	(0.0)	25.1215	2.0	11.7	0.8	11.4398	2.0	< 1.6	(0.0)	19.2251	1.6	< 1.2	(0.0)	2.7849	1.2																	2.4	0.3	5.5284	0.7	< 0.7	(0.0)	5.5801	0.7	< 0.7	(0.0)	0.0000	0.7	4.5	0.3	15.0426	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	7.2159	0.4	
Eu.E1.E.1.0-10.04	TQ Powders	7/31/2018 3:12:51 PM	8.5718	< 0.010	(0.0)	2.1024	0.0100	0.0875	0.0030	6.0644	0.011	16.24	0.04	894.2094	0.0049	22.85	0.03	2306.5254	0.00001	0.02941	0.00063	11.6750	0.0015	0.05425	0.00072	20.7717	0.00029	0.00977	0.00033	8.2015	0.00058	0.03476	0.00033	88.0095	0.00025	0.1698	0.0005	721.4393	0.00100					7720	9	7284.1107	0.1	< 1.0	(0.0)	0.0000	1.0	36.7	0.3	93.8149	0.3	41.8	0.4	132.8059	0.4	11730	20	7528.4640	0.1	< 3.0	(0.0)	0.5270	3.0	19.2	0.6	28.7902	0.9	6.1	0.5	11.8220	0.7	20.9	0.4	57.4564	0.5	21.3	0.4	76.5224	0.5	2.7	0.3	7.5127	0.5	4.1	0.2	22.7966	0.3	1.2	0.1	7.8124	0.2	8.6	0.1	64.6901	0.2	0.5	0.1	8.2671	0.2	14.7	0.1	210.9250	0.2	4.1	0.1	65.2068	0.3	481.2	1.5	1083.4333	0.1	20.9	0.4	47.6489	0.7	3.2	0.3	11.3938	1.0					0.7	0.2	2.5429	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.5800	0.5	2.7	0.1	35.2059	0.8	2.4	0.3	6.2339	0.7	4.2	0.2	17.1339	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.4935	0.5	< 0.5	(0.0)	0.0000	0.5	< 3.0	(2.1)	22.6271	2.9	< 1.0	(0.0)	7.9374	1.0	< 1.5	(0.0)	24.6392	1.5	< 2.0	(0.0)	19.2941	2.0	10.2	0.8	10.2926	2.0	< 1.6	(0.0)	18.2290	1.6	< 1.2	(0.0)	2.4698	1.2																	2.4	0.4	5.6940	0.7	< 0.7	(0.0)	0.4960	0.7	< 0.7	(0.0)	0.0000	0.7	4.2	0.3	13.8681	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.1979	0.4	
Eu.E1.T.4.10-20.04	TQ Powders	7/31/2018 2:58:03 PM	8.8365	< 0.010	(0.0)	1.9645	0.0100	0.01750	0.00072	5.0588	0.011	13.16	0.03	747.4297	0.0064	27.43	0.04	2920.3962	0.00001	0.00287	0.00008	8.7911	0.0016	0.03683	0.00062	13.8785	0.00041	0.00719	0.00030	6.3188	0.00059	0.02971	0.00031	73.3165	0.00025	0.1879	0.0006	776.4615	0.00100					6549	8	6006.7289	0.1	< 1.0	(0.0)	0.0000	1.0	110.9	0.6	263.3609	0.3	40.3	0.4	124.7783	0.5	12690	20	7940.8872	0.1	< 3.0	(0.0)	0.6878	3.0	21.4	0.6	30.9089	1.0	4.3	0.5	8.1404	0.7	21.9	0.4	58.5329	0.5	24.1	0.4	83.8472	0.5	< 0.5	(0.0)	0.0000	0.5	3.6	0.2	19.6068	0.3	1.4	0.1	8.7358	0.2	13.0	0.2	94.7079	0.2	0.7	0.1	11.0866	0.2	24.1	0.2	335.2964	0.2	5.2	0.2	77.8214	0.3	618.1	1.7	1358.1302	0.1	25.9	0.4	57.1936	0.7	5.6	0.4	17.4220	1.1					1.0	0.2	3.5110	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.2)	2.3972	0.5	3.3	0.1	36.2000	0.8	2.6	0.3	6.6225	0.6	4.3	0.2	17.1193	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.8039	0.5	< 0.5	(0.0)	0.0000	0.5	< 2.9	(1.8)	21.9379	2.9	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	24.9284	1.5	< 2.0	(0.0)	30.3765	2.0	12.9	0.9	11.6614	2.1	< 1.6	(0.0)	17.6769	1.6	< 1.2	(0.0)	2.1455	1.2																	3.8	0.4	8.4278	0.7	< 0.7	(0.0)	5.0197	0.7	< 0.7	(0.0)	0.0000	0.7	6.3	0.3	20.1714	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	7.1036	0.4	
Eu.E1.E.3.10-20.04	TQ Powders	7/31/2018 2:43:13 PM	8.8817	< 0.010	(0.0)	1.7781	0.0100	0.01070	0.00044	4.9583	0.0096	13.55	0.03	763.3262	0.0063	27.23	0.04	2838.1630	0.00001	0.00592	0.00016	8.5176	0.0016	0.02909	0.00057	10.7757	0.00045	0.00756	0.00031	6.4616	0.00059	0.02338	0.00028	56.4679	0.00024	0.08377	0.00038	339.0955	0.00015					6326	8	5670.4977	0.1	< 1.0	(0.0)	0.0000	1.0	48.3	0.4	116.8934	0.3	32.8	0.4	99.1996	0.5	11520	20	7069.3995	0.1	< 3.0	(0.0)	0.9426	3.0	18.3	0.6	26.4228	0.9	< 0.5	(0.0)	0.0000	0.5	20.1	0.4	52.9976	0.5	20.1	0.4	69.3763	0.6	2.1	0.3	5.4629	0.5	3.6	0.2	19.7740	0.3	1.3	0.1	8.2096	0.2	11.8	0.2	85.1975	0.2	0.4	0.1	7.0238	0.2	13.0	0.1	180.3378	0.2	4.6	0.2	69.2243	0.3	566.3	1.6	1245.5041	0.1	23.6	0.4	52.4134	0.7	3.7	0.3	12.6246	1.1					1.0	0.2	3.3910	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.9152	0.4	2.4	0.1	34.7024	0.8	2.5	0.3	6.3062	0.7	4.1	0.2	16.6742	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 2.9	(0.0)	18.8576	2.9	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	26.7983	1.5	< 2.0	(0.0)	22.1022	2.0	13.2	0.8	12.8212	2.0	< 1.6	(0.0)	23.7876	1.6	< 1.2	(0.0)	2.4325	1.2																	2.4	0.4	5.4832	0.7	< 0.7	(0.0)	2.5338	0.7	< 0.7	(0.0)	0.0000	0.7	5.4	0.3	17.4024	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.1690	0.4	
Eu.E1.1.60-100.04	TQ Powders	7/31/2018 2:28:27 PM	9.3120	< 0.010	(0.0)	2.0791	0.0100	0.0931	0.0031	6.1665	0.010	19.48	0.04	1081.4049	0.0033	20.24	0.03	1990.1024	0.00001	< 0.00030	(0.0)	8.3037	0.00030	0.03420	0.00061	13.4999	0.00044	0.00404	0.00025	4.3227	0.00057	0.03310	0.00033	84.9115	0.00028	0.01335	0.00017	62.9873	0.00021					11040	10	10569.1051	0.1	57.1	3.3	83.1900	6.2	39.3	0.4	106.1284	0.5	41.4	0.4	131.5887	0.5	21760	30	13937.5431	0.1	< 3.0	(0.0)	1.1659	3.0	25.5	0.7	35.7363	1.0	5.8	0.5	10.5893	0.7	33.8	0.5	86.3084	0.5	41.0	0.5	135.6077	0.6	1.7	0.3	4.3748	0.6	5.2	0.3	27.3183	0.3	1.1	0.2	6.5354	0.3	13.4	0.2	93.5712	0.2	0.8	0.1	13.9373	0.2	12.9	0.1	169.8144	0.2	8.0	0.2	109.6477	0.4	909.2	2.1	1932.2567	0.1	41.3	0.5	86.8279	0.8	4.8	0.4	15.0745	1.3					0.8	0.2	2.6408	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.8486	0.3	3.5	0.1	36.4819	0.8	2.8	0.3	7.0299	0.7	4.4	0.2	17.4707	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	18.1	0.7	56.8868	2.8	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	30.3812	1.5	< 2.0	(0.0)	28.3639	2.0	25.7	1.2	19.3389	2.2	< 1.6	(0.0)	17.6168	1.6	< 1.2	(0.0)	2.6955	1.2																	2.7	0.4	5.7546	0.7	< 0.7	(0.0)	4.5459	0.7	< 0.7	(0.0)	0.0000	0.7	12.0	0.4	36.5386	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	9.0919	0.4	
Eu.E1.2.60-100.04	TQ Powders	7/31/2018 2:13:38 PM	9.3349	< 0.010	(0.0)	1.7558	0.0100	0.0757	0.0026	5.9009	0.010	19.46	0.04	1067.5044	0.0027	20.12	0.03	1958.0508	0.00001	< 0.00030	(0.0)	8.1326	0.00030	0.03621	0.00062	14.1267	0.00044	0.00351	0.00024	3.9393	0.00057	0.03139	0.00033	79.8565	0.00028	0.01354	0.00017	63.1239	0.00020					10890	10	10332.6475	0.1	50.3	3.3	72.8361	6.1	39.7	0.4	104.1696	0.4	42.4	0.4	133.7685	0.4	21370	20	13575.0420	0.1	< 3.0	(0.0)	0.0000	3.0	24.2	0.7	33.7684	1.0	< 0.4	(0.4)	0.6788	0.4	31.7	0.5	80.6136	0.5	36.2	0.5	119.4621	0.6	< 0.5	(0.0)	0.0000	0.5	4.9	0.3	25.8884	0.3	0.8	0.2	4.6241	0.3	10.6	0.2	73.6033	0.2	0.7	0.1	12.1647	0.2	11.1	0.1	146.0187	0.2	7.0	0.2	96.5963	0.4	764.9	1.9	1618.9167	0.1	36.3	0.5	76.3165	0.8	3.8	0.4	12.7113	1.2					0.8	0.2	2.6812	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.1687	0.5	2.6	0.1	34.9408	0.8	2.9	0.3	7.1417	0.7	3.7	0.2	15.2828	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.3	(0.0)	4.0218	1.3	< 0.5	(0.0)	0.0000	0.5	12.5	0.6	44.6662	2.9	< 1.0	(0.0)	7.9948	1.0	< 1.5	(0.0)	33.0762	1.5	< 2.0	(0.0)	27.6041	2.0	25.9	1.1	20.4371	2.2	< 1.6	(0.0)	23.4597	1.6	< 1.2	(0.0)	2.5348	1.2																	2.7	0.4	5.8331	0.7	< 0.7	(0.0)	6.7240	0.7	< 0.7	(0.0)	0.0000	0.7	10.7	0.4	32.5382	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	7.3709	0.4	
Eu.E1.3.60-100.04	TQ Powders	7/31/2018 1:58:50 PM	9.3215	< 0.010	(0.0)	1.8086	0.0100	0.0893	0.0030	6.1099	0.010	19.54	0.04	1078.7898	0.0033	20.40	0.03	1990.3796	0.00001	< 0.00030	(0.0)	8.1690	0.00030	0.02981	0.00057	11.6994	0.00045	0.00365	0.00024	4.0251	0.00056	0.03199	0.00033	81.1873	0.00028	0.02682	0.00023	119.1589	0.00020					10510	10	9945.3791	0.1	56.7	3.2	82.0867	6.0	39.9	0.4	107.2241	0.5	42.3	0.4	133.0224	0.5	20990	20	13324.6394	0.1	< 11	(5.6)	2.1452	11	24.6	0.7	34.4300	1.0	4.3	0.5	7.8482	0.7	32.2	0.5	82.1243	0.5	39.0	0.5	128.7248	0.6	2.0	0.3	5.1188	0.6	5.3	0.3	27.7288	0.3	1.0	0.2	6.1277	0.3	12.3	0.2	85.3741	0.2	0.8	0.1	13.9547	0.2	13.4	0.1	176.6528	0.2	8.6	0.2	117.7650	0.4	948.2	2.1	2009.8467	0.1	40.2	0.5	84.3474	0.8	4.9	0.4	15.4765	1.4					0.7	0.2	2.4962	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.5069	0.5	3.2	0.1	35.9819	0.8	2.9	0.3	7.2207	0.7	3.8	0.2	15.5130	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	16.4	0.7	53.0778	2.8	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	34.0458	1.5	< 2.0	(0.0)	37.9423	2.0	26.7	1.2	19.8381	2.2	< 1.6	(0.0)	17.3743	1.6	< 1.2	(0.0)	2.8568	1.2																	2.5	0.4	5.4905	0.7	< 0.7	(0.0)	3.0798	0.7	< 0.7	(0.0)	0.0000	0.7	11.7	0.4	35.5876	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	8.3792	0.4	
