ID,N_04_pct,C_04_pct,BD_04_gcm3
Vg.E.1.60-100.04,0.098,1.574,0.98
Vg.E.2.60-100.04,0.095,1.881,0.98
Vg.E.3.60-100.04,0.070,1.726,0.98
Vg.E.4.60-100.04,0.090,1.649,0.98
Vg.N.1.0-10.04,0.244,6.181,0.68
Vg.N.2.0-10.04,0.330,4.031,0.68
Vg.N.3.0-10.04,0.399,6.210,0.68
Vg.N.4.0-10.04,0.290,3.891,0.68
Vg.N.1.10-20.04,0.299,4.492,0.92
Vg.N.2.10-20.04,0.199,3.647,0.92
Vg.N.3.10-20.04,0.205,3.272,0.92
Vg.N.4.10-20.04,0.195,3.040,0.92
Vg.N.1.20-40.04,0.195,3.647,0.91
Vg.N.2.20-40.04,0.202,2.879,0.91
Vg.N.3.20-40.04,0.138,2.345,0.91
Vg.N.4.20-40.04,0.141,2.499,0.91
Vg.N.1.40-60.04,0.172,2.572,0.71
Vg.N.2.40-60.04,0.176,2.496,0.71
Vg.N.3.40-60.04,0.080,1.726,0.71
Vg.N.4.40-60.04,0.101,2.113,0.71
Vg.N.1.60-100.04,0.108,1.574,0.96
Vg.N.2.60-100.04,0.103,1.958,0.96
Vg.N.3.60-100.04,0.086,2.036,0.96
Vg.N.4.60-100.04,0.072,1.649,0.96
It.E1.T.1.0-10.04,0.177,3.910,0.63
It.E1.T.2.0-10.04,0.184,4.771,0.63
It.E1.T.3.0-10.04,0.202,4.269,0.63
It.E1.T.4.0-10.04,0.113,4.316,0.63
It.E1.T.1.10-20.04,0.134,3.049,0.77
It.E1.T.2.10-20.04,0.120,2.858,0.77
It.E1.T.3.10-20.04,0.134,2.475,0.77
It.E1.T.4.10-20.04,0.191,3.049,0.77
It.E1.T.1.20-40.04,0.080,1.273,0.81
It.E1.T.2.20-40.04,0.055,1.022,0.81
It.E1.T.3.20-40.04,0.070,1.357,0.81
It.E1.T.4.20-40.04,0.055,1.776,0.81
It.E1.T.1.40-60.04,0.048,1.166,0.82
It.E1.T.2.40-60.04,0.037,1.130,0.82
It.E1.T.3.40-60.04,0.023,1.309,0.82
It.E1.T.4.40-60.04,0.016,1.058,0.82
It.E1.T.1.60-100.04,0.041,0.771,0.84
It.E1.T.2.60-100.04,0.037,0.819,0.84
It.E1.T.3.60-100.04,0.030,0.879,0.84
It.E1.T.4.60-100.04,0.023,0.807,0.84
It.E2.L.1.0-10.04,0.148,3.207,0.78
It.E2.L.2.0-10.04,0.141,3.138,0.78
It.E2.L.3.0-10.04,0.134,2.932,0.78
It.E2.L.4.0-10.04,0.098,2.587,0.78
It.E2.L.1.10-20.04,0.120,2.449,0.89
It.E2.L.2.10-20.04,0.123,2.173,0.89
It.E2.L.3.10-20.04,0.120,2.173,0.89
It.E2.L.4.10-20.04,0.102,2.311,0.89
It.E2.L.1.20-40.04,0.084,1.707,0.92
