McMahon_6-12-17_3
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bp.E1.L.1.10-20.04	TQ Powders	6/12/2017 4:20:20 PM	14.5460	0.1294	0.0048	6.5216	0.013	19.63	0.04	1018.8793	0.0022	14.28	0.03	1405.4786	0.0016	0.02684	0.00074	10.5349	0.0018	0.01205	0.00054	5.3102	0.00081	0.00521	0.00032	5.3882	0.00070	0.1787	0.0007	491.0828	0.00021	< 0.00033	(0.00024)	27.6448	0.00033	12690	10	13073.8568	0.1	161.9	0.7	545.7708	0.4	100100	100	62769.4265	0.1	32.7	1.1	38.0535	1.3	35.2	0.8	57.8369	0.9	18.1	0.3	146.6549	0.4	667.0	2.1	936.4576	0.1	46.0	0.7	65.7952	1.1	6.0	0.5	13.6136	1.4	23.9	1.0	44.8869	0.9	
Bp.E1.L.2.10-20.04	TQ Powders	6/12/2017 4:34:13 PM	14.0505	0.2006	0.0065	7.5067	0.013	19.37	0.04	1017.3971	0.0020	14.36	0.03	1428.5807	0.0015	0.02655	0.00073	10.4732	0.0018	0.01149	0.00053	5.0818	0.00078	0.00883	0.00037	8.1332	0.00069	0.1971	0.0007	546.4335	0.00017	0.00109	0.00003	30.6121	0.00033	11930	10	12404.5937	0.1	140.7	0.6	480.1180	0.4	94570	80	60079.0863	0.1	33.5	1.1	40.3181	1.3	29.7	0.7	50.4765	0.9	14.9	0.3	124.9136	0.4	647.9	2.1	927.4071	0.1	45.0	0.7	65.2179	1.0	5.1	0.4	12.0611	1.4	20.8	1.0	40.3023	0.9	
Bp.E1.L.3.10-20.04	TQ Powders	6/12/2017 4:48:09 PM	14.1750	0.1794	0.0060	7.2632	0.013	19.24	0.04	1026.2696	0.0020	14.29	0.03	1441.7643	0.0015	0.03026	0.00080	11.1855	0.0018	0.01133	0.00053	5.0742	0.00078	0.01015	0.00039	9.2003	0.00069	0.2059	0.0008	576.2207	0.00017	0.00068	0.00002	29.5679	0.00034	12090	10	12674.1234	0.1	153.2	0.7	526.2815	0.4	97080	90	62166.4698	0.1	34.1	1.1	40.7434	1.3	32.5	0.7	54.7764	0.9	15.4	0.3	128.1464	0.4	643.6	2.1	921.8421	0.1	45.1	0.7	65.4303	1.0	4.8	0.4	11.5276	1.4	21.4	1.0	41.2537	0.9	
Bp.E1.L.4.10-20.04	TQ Powders	6/12/2017 5:02:05 PM	14.3725	0.1371	0.0049	6.6499	0.013	19.21	0.04	1010.7515	0.0021	13.99	0.03	1399.9296	0.0015	0.03648	0.00091	12.2597	0.0018	0.01170	0.00053	5.2605	0.00079	0.00806	0.00036	7.6084	0.00069	0.1687	0.0007	471.5248	0.00021	0.00691	0.00012	59.2234	0.00032	12540	10	13138.4801	0.1	162.7	0.7	557.4919	0.4	99370	90	63257.9547	0.1	33.9	1.1	39.9361	1.3	38.3	0.8	63.8433	0.9	22.4	0.3	183.6995	0.4	640.2	2.1	909.1027	0.1	46.7	0.7	67.4453	1.0	4.9	0.4	11.7343	1.4	24.3	1.0	46.1971	0.9	
Bp.E1.L.1.40-60.04	TQ Powders	6/12/2017 5:16:00 PM	14.8560	0.1686	0.0058	6.9644	0.014	19.95	0.04	1001.2648	0.0022	14.29	0.03	1366.7157	0.0016	0.01824	0.00058	8.7073	0.0018	0.00829	0.00050	3.6931	0.00082	0.00285	0.00026	3.5969	0.00071	0.1719	0.0007	462.6775	0.00021	< 0.0010	(0.0)	23.6094	0.00100	12550	10	12677.3597	0.1	159.9	0.7	529.8419	0.4	102600	100	62973.1448	0.1	32.2	1.2	36.6441	1.4	35.4	0.8	56.9224	1.0	16.8	0.3	133.3437	0.4	657.5	2.1	907.7210	0.1	45.1	0.7	63.6667	1.1	5.2	0.4	12.1703	1.4	22.9	1.1	42.0834	1.0	
Bp.E1.L.2.40-60.04	TQ Powders	6/12/2017 5:29:53 PM	14.2744	0.1670	0.0057	7.0126	0.013	19.56	0.04	1010.3966	0.0021	14.34	0.03	1406.2535	0.0015	0.01678	0.00052	8.8136	0.0018	0.00680	0.00048	3.1196	0.00080	0.00636	0.00033	6.2354	0.00069	0.1830	0.0007	502.5051	0.00019	0.00027	0.00001	27.0440	0.00025	12120	10	12482.5866	0.1	142.6	0.6	482.3096	0.4	96730	80	60760.4212	0.1	34.7	1.1	41.0008	1.4	29.0	0.7	48.5316	1.0	14.4	0.3	119.2292	0.4	673.4	2.1	958.8480	0.1	44.0	0.7	63.9002	1.0	4.7	0.4	11.4882	1.4	19.8	1.0	37.7485	0.9	
Bp.E1.L.3.40-60.04	TQ Powders	6/12/2017 5:43:47 PM	14.2804	0.1828	0.0061	7.2650	0.013	19.51	0.04	1024.0387	0.0020	14.25	0.03	1415.9081	0.0015	0.01919	0.00059	9.1229	0.0018	0.00733	0.00048	3.3716	0.00080	0.00604	0.00033	6.0474	0.00069	0.1925	0.0007	533.4164	0.00018	0.00075	0.00002	29.8152	0.00033	12150	10	12621.4087	0.1	147.1	0.6	500.9823	0.4	97650	90	61893.2915	0.1	28.4	1.2	33.6060	1.3	30.0	0.7	50.1863	0.9	14.7	0.3	121.4718	0.4	649.7	2.1	930.4924	0.1	43.7	0.6	63.9538	1.1	4.7	0.4	11.5975	1.4	20.2	1.0	38.6979	0.9	
Bp.E1.L.4.40-60.04	TQ Powders	6/12/2017 5:57:44 PM	14.6197	0.1550	0.0055	6.8369	0.014	19.76	0.04	1012.8473	0.0022	14.18	0.03	1381.8040	0.0016	0.01952	0.00060	9.0726	0.0018	0.00813	0.00049	3.7077	0.00082	0.00823	0.00037	7.5933	0.00070	0.1618	0.0007	442.1251	0.00022	< 0.0010	(0.0)	25.4974	0.00100	12550	10	12866.2510	0.1	159.2	0.7	534.6921	0.4	100900	100	62870.8266	0.1	25.5	1.2	29.4774	1.3	37.7	0.8	61.6490	0.9	18.7	0.3	150.8783	0.4	659.0	2.1	920.8294	0.1	45.8	0.7	65.1258	1.1	4.8	0.4	11.4907	1.4	24.1	1.0	44.8617	0.9	
