File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
04-Aug-20174814_54.prm,26.822,BO.P.1.20-40.16,0.1391,0.0373,13.9116,1.0529,0.2824,187.8478
04-Aug-20174915_00.prm,27.839,BO.P.2.20-40.16,0.1443,0.0402,14.6015,1.1003,0.3063,203.4163
04-Aug-20175015_06.prm,26.034,BO.P.3.20-40.16,0.1373,0.0357,13.5362,1.0855,0.2826,187.9833
04-Aug-20175115_12.prm,28.439,BO.P.4.20-40.16,0.1364,0.0388,14.2697,1.0949,0.3114,206.7154
04-Aug-20175215_17.prm,27.334,BO.P.1.40-60.16,0.1236,0.0338,13.0637,0.9117,0.2492,166.2312
04-Aug-20175315_23.prm,27.498,BO.P.3.40-60.16,0.1246,0.0343,13.178,0.8616,0.2369,158.2509
04-Aug-20175415_29.prm,27.609,BO.P.4.40-60.16,0.1243,0.0343,13.1885,0.8759,0.2418,161.4325
04-Aug-20175515_35.prm,28.148,BO.P.3.60-100.16,0.098,0.0276,11.5643,0.5719,0.161,108.8189
04-Aug-20175615_41.prm,26.913,BO.P.4.60-100.16,0.1049,0.0282,11.7218,0.581,0.1564,105.804
04-Aug-20175715_46.prm,1.184,std 8,6.0676,0.0718,22.2463,70.5539,0.8354,547.7917
