"","ID","N_pct","N_mg","N_area","C_pct","C_mg","C_area","nobs","Wt_mg","File.Name","CN_avgd"
"44","Bp.E1.Ee2.1.0-10.16",0.1402,0.0402,11.6744,2.5832,0.7406,363.0165,1,28.668,"29-Jun-201722.prm",0
"45","Bp.E1.Ee2.1.10-20.16",0.1043,0.0266,11.7842,1.9911,0.5081,340.4529,1,25.518,"02-Aug-20174213_59.prm",0
"46","Bp.E1.Ee2.1.20-40.16",0.0925,0.0275,9.407,1.7419,0.5189,254.7627,1,29.789,"29-Jun-201728.prm",0
"47","Bp.E1.Ee2.1.40-60.16",0.1146,0.0309,12.3668,1.4931,0.4026,266.1241,1,26.968,"04-Aug-20171311_33.prm",0
"48","Bp.E1.Ee2.1.60-100.16",0.0954,0.0254,11.029,1.2457,0.3311,219.5789,1,26.583,"04-Aug-20173413_34.prm",0
"49","Bp.E1.Ee2.2.0-10.16",0.1311,0.0376,11.2193,2.3581,0.6772,332.0814,1,28.719,"29-Jun-20178.prm",0
"50","Bp.E1.Ee2.2.10-20.16",0.07475,0.02165,13.19695,1.7347,0.5044,333.8642,2,NA,"02-Aug-20174714_28.prm",1
"51","Bp.E1.Ee2.2.20-40.16",0.1349,0.0353,10.7942,1.7112,0.4475,219.9208,1,26.153,"29-Jun-201740.prm",0
"52","Bp.E1.Ee2.2.40-60.16",0.1113,0.0293,11.989,1.4845,0.3914,258.8249,1,26.369,"04-Aug-20172112_19.prm",0
"53","Bp.E1.Ee2.2.60-100.16",0.0996,0.0277,11.6016,1.2797,0.3564,236.0044,1,27.848,"04-Aug-20173813_57.prm",0
"54","Bp.E1.Ee2.3.0-10.16",0.1485,0.0394,11.5258,2.4238,0.6425,315.1084,1,26.506,"29-Jun-201710.prm",0
"55","Bp.E1.Ee2.3.10-20.16",0.08295,0.02345,13.5673,1.7901,0.5068,335.2227,2,NA,"02-Aug-20175114_51.prm",1
"56","Bp.E1.Ee2.3.20-40.16",0.1023,0.0283,9.538,1.6849,0.4654,228.666,1,27.624,"29-Jun-201736.prm",0
"57","Bp.E1.Ee2.3.40-60.16",0.1115,0.0291,11.9367,1.4408,0.3764,249.0435,1,26.125,"04-Aug-20172512_42.prm",0
"58","Bp.E1.Ee2.3.60-100.16",0.0998,0.0279,11.6479,1.2828,0.3588,237.5507,1,27.966,"04-Aug-20174214_20.prm",0
"59","Bp.E1.Ee2.4.0-10.16",0.1674,0.0488,13.2236,3.0684,0.8949,438.3853,1,29.165,"29-Jun-201725.prm",0
"60","Bp.E1.Ee2.4.10-20.16",0.08665,0.0238,13.6181,1.85185,0.51255,338.75565,2,NA,"02-Aug-20175214_56.prm",1
"61","Bp.E1.Ee2.4.20-40.16",0.0957,0.0254,9.0156,1.5385,0.4078,200.5333,1,26.508,"29-Jun-201734.prm",0
