File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area,
20-Jul-2017111_14.prm,0.782,std 1,4.7371,0.037,20.8252,69.9096,0.5467,373.3989,
20-Jul-2017211_20.prm,1.697,std 2,4.8873,0.0829,31.425,70.9383,1.2038,807.3198,
20-Jul-2017311_26.prm,2.723,std 3,4.8723,0.1327,42.912,70.6546,1.9239,1282.8232,
20-Jul-2017411_31.prm,3.563,std 4,4.8154,0.1716,51.896,70.4502,2.5101,1669.9184,
20-Jul-2017511_45.prm,25.196,It.E1.T.1.0-10.16,0.2288,0.0577,25.5859,5.4028,1.3613,911.2937,
20-Jul-2017611_51.prm,25.335,It.E1.3.0-10.04,0.2079,0.0527,24.4372,4.8516,1.2292,824.044,
20-Jul-2017711_57.prm,28.744,Vg.N.C.3.0-10.16,0.3849,0.1106,37.8216,5.4613,1.5698,1048.9842,
20-Jul-2017812_02.prm,27,blank,0.129,0.0348,11.3216,0.0059,0.0016,1.0707,
20-Jul-2017912_08.prm,27.375,Eu.E2.L.1.0-10.16,0.0364,0.01,14.5729,0.9034,0.2473,175.7016,
20-Jul-20171012_14.prm,26.043,Eu.E2.Ee2.1.0-10.16,0.0614,0.016,15.9646,1.38,0.3594,249.7194,
20-Jul-20171112_20.prm,26.766,Eu.E2.T.1.0-10.16,0.0432,0.0116,14.9375,1.1758,0.3147,220.2153,
20-Jul-20171212_25.prm,27.745,Eu.E2.Ee1.1.0-10.16,0.0832,0.0231,17.6025,1.8377,0.5099,349.0751,
20-Jul-20171312_31.prm,1.063,std5,4.192,0.0446,22.5613,70.125,0.7454,504.6297,
20-Jul-20171412_37.prm,27.308,Bp.E2.Ee1.1.0-10.16,0.1483,0.0405,21.6238,3.1085,0.8489,572.9257,
20-Jul-20171512_42.prm,26.913,Bp.E2.L.1.0-10.16,0.1199,0.0323,19.7242,2.8533,0.7679,519.4786,
20-Jul-20171612_48.prm,26.73,Bp.E2.Ee2.1.0-10.16,0.144,0.0385,21.1565,3.2457,0.8676,585.2858,
20-Jul-20171712_54.prm,26.017,Bp.E2.T.2.0-10.16,0.0758,0.0197,16.8254,1.798,0.4678,321.2887,
20-Jul-20171813_00.prm,25.385,Bp.E2.T.1.40-60.16,0.0737,0.0187,16.5874,1.9242,0.4884,334.938,
20-Jul-20171913_05.prm,27.135,Bp.E2.L.1.40-60.16,0.0888,0.0241,17.8346,2.2179,0.6018,409.7988,
20-Jul-20172013_11.prm,25.696,Bp.E2.Ee2.1.40-60.16,0.0851,0.0219,17.3192,2.1646,0.5562,379.6819,
20-Jul-20172113_17.prm,26.911,Bp.E2.Ee1.1.40-60.16,0.0794,0.0214,17.2048,2.0589,0.5541,378.2637,
20-Jul-20172213_23.prm,1.041,std 6,4.3631,0.0454,22.7597,69.7996,0.7266,492.2054,
20-Jul-20172313_28.prm,26.88,It.E1.T.3.10-20.16,0.1627,0.0437,22.37,4.3423,1.1672,783.1402,
20-Jul-20172413_34.prm,27.784,It.E1.Ee2.3.10-20.16,0.2045,0.0568,25.3935,5.067,1.4078,942.0264,
20-Jul-20172513_40.prm,25.392,It.E1.Ee2.4.10-20.16,0.1283,0.0326,19.7964,3.1908,0.8102,547.413,
20-Jul-20172613_45.prm,24.328,It.E1.T.4.10-20.16,0.121,0.0294,19.0708,3.2023,0.7791,526.8327,
20-Jul-20172713_51.prm,24.808,It.E1.Ee1.4.10-20.16,0.1756,0.0436,22.3287,4.2127,1.0451,702.499,
20-Jul-20172813_57.prm,27.893,It.E1.T.2.10-20.16,0.2222,0.062,26.5844,5.5175,1.539,1028.6347,
20-Jul-20172914_03.prm,26.505,It.E1.Ee2.2.10-20.16,0.2011,0.0533,24.5802,5.2124,1.3815,924.6775,
20-Jul-20173014_08.prm,26.389,It.E1.L.2.10-20.16,0.1729,0.0456,22.8062,4.8341,1.2757,854.7672,
20-Jul-20173114_14.prm,25.96,It.E1.Ee1.2.10-20.16,0.1245,0.0323,19.7316,3.3579,0.8717,588.0196,
