File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
11-Jul-20174514_44.prm,25.295,Vg.N.B.1.40-60.16,0.2004,0.0507,13.7139,2.6647,0.674,370.0692
11-Jul-20174614_50.prm,27.059,Vg.N.B.3.40-60.16,0.2084,0.0564,14.8363,2.6096,0.7061,387.9678
11-Jul-20174714_56.prm,25.406,Vg.N.B.4.40-60.16,0.2375,0.0603,15.613,3.0071,0.764,420.2533
11-Jul-20174815_02.prm,28.022,Vg.N.C.4.40-60.16,0.2723,0.0763,18.7588,3.7378,1.0474,578.3713
11-Jul-20174915_07.prm,25.636,Vg.N.C.3.40-60.16,0.1973,0.0506,13.6905,2.5533,0.6546,359.202
11-Jul-20175015_13.prm,25.278,Vg.N.C.2.40-60.16,0.1537,0.0389,11.378,1.8378,0.4646,253.1969
11-Jul-20175115_19.prm,27.328,Vg.N.D.1.40-60.16,0.2107,0.0576,15.0697,2.7802,0.7598,417.894
11-Jul-20175215_25.prm,26.992,Vg.N.D.4.40-60.16,0.1714,0.0463,12.8375,2.1487,0.58,317.5819
11-Jul-20175315_31.prm,27.973,Vg.N.D.2.40-60.16,0.2008,0.0562,14.7914,2.581,0.722,396.8082
11-Jul-20175415_36.prm,28.538,Vg.N.D.3.40-60.16,0.2032,0.058,15.1532,2.627,0.7497,412.2683
11-Jul-20175515_42.prm,27,blank,0.0299,0.0081,5.3093,0.047,0.0127,1.0836
11-Jul-20175615_48.prm,1.23,std 8,5.3486,0.0658,16.6876,70.2908,0.8646,476.3727
11-Jul-20175715_54.prm,26.486,Vg.N.3.60-100.16,0.1402,0.0371,11.0375,1.7584,0.4657,253.8382
11-Jul-20175816_00.prm,28.692,Vg.N.4.60-100.16,0.1531,0.0439,12.3776,2.0192,0.5794,317.239
11-Jul-20175916_05.prm,26.716,JP.E2.Ee2.1.0-10.16,0.0833,0.0222,8.1051,1.3207,0.3528,190.8539
11-Jul-20176016_11.prm,26.113,JP.E2.Ee1.1.0-10.16,0.0837,0.0218,8.0262,1.1645,0.3041,163.6607
11-Jul-20176116_17.prm,26.417,JP.E2.T.1.0-10.16,0.0516,0.0136,6.4063,0.501,0.1324,67.8458
11-Jul-20176216_23.prm,26.657,JP.E2.L.1.0-10.16,0.0879,0.0234,8.3366,1.4157,0.3774,204.5588
11-Jul-20176316_29.prm,28.316,JP.E2.T.2.0-10.16,0.0471,0.0133,6.3511,2.051,0.5808,318.0241
11-Jul-20176416_35.prm,26.755,JP.E2.T.3.0-10.16,0.0295,0.0079,5.2762,1.2752,0.3412,184.3527
11-Jul-20176516_40.prm,28.804,JP.E2.T.4.0-10.16,0.015,0.0043,4.5694,0.9292,0.2677,143.3296
11-Jul-20176616_46.prm,27.731,JP.E2.L.2.0-10.16,0.0132,0.0037,4.4424,0.7626,0.2115,111.9963
11-Jul-20176716_52.prm,1.478,std 9,4.302,0.0636,16.2531,69.8823,1.0329,570.2632
