File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area,
26-Jul-20175516_06.prm,26.794,JP.E2.4.10-20.16,0.0262,0.007,13.1493,0.5361,0.1436,97.592,
26-Jul-20175616_12.prm,26.946,Bp.E2.T.3.10-20.16,0.1111,0.0299,18.4115,1.9441,0.5239,346.4573,
26-Jul-20175716_18.prm,26.958,Bp.E2.L.3.10-20.16,0.0994,0.0268,17.6888,1.6832,0.4537,300.5713,
26-Jul-20175816_23.prm,27.096,Bp.E2.Ee1.3.10-20.16,0.0836,0.0227,16.7408,1.8168,0.4923,325.7925,
26-Jul-20175916_29.prm,27.274,Bp.E2.Ee2.3.10-20.16,0.0901,0.0246,17.1816,1.8798,0.5127,339.1585,
26-Jul-20176016_35.prm,27.945,Bp.E2.T.4.10-20.16,0.1273,0.0356,19.7031,2.5529,0.7134,470.5204,
26-Jul-20176116_41.prm,27.183,Bp.E2.L.4.10-20.16,0.1094,0.0297,18.3651,2.1179,0.5757,380.3906,
26-Jul-20176216_47.prm,26.385,Bp.E2.Ee1.4.10-20.16,0.1284,0.0339,19.3146,2.887,0.7617,502.1557,
26-Jul-20176316_53.prm,28.191,Bp.E2.Ee2.4.10-20.16,0.088,0.0248,17.2367,2.3517,0.663,437.5164,
26-Jul-20176416_58.prm,1.175,std 9,3.9023,0.0459,22.0649,71.8872,0.8447,556.4443,
