File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
14-Jul-20174314_14.prm,26.797,It.E1.Ee1.4.0-10.16,0.309,0.0828,19.7837,5.5111,1.4768,807.3931
14-Jul-20174414_20.prm,1.187,std 7,5.2719,0.0626,15.9274,87.0304,1.0331,573.6108
14-Jul-20174514_26.prm,26.483,It.E1.Ee2.4.0-10.16,0.2733,0.0724,17.7943,5.1332,1.3594,745.5595
14-Jul-20174614_32.prm,26.499,It.E1.4.0-10.04,0.1615,0.0428,12.1565,3.1656,0.8389,471.3008
14-Jul-20174714_37.prm,26.847,It.E1.1.0-10.04,0.242,0.065,16.3831,4.9231,1.3217,725.6814
14-Jul-20174814_44.prm,28.12,It.E1.3.0-10.04,0.2507,0.0705,17.4353,4.8082,1.3521,741.6822
14-Jul-20174914_51.prm,27.164,It.E1.2.0-10.04,0.2322,0.0631,16.0216,4.564,1.2398,682.506
14-Jul-20175014_58.prm,29.901,It.E1.2.0-10.04_2,0.2419,0.0723,17.7899,4.505,1.347,739.0209
14-Jul-20175115_05.prm,28.264,It.E1.L.4.10-20.16,0.2166,0.0612,15.6693,3.9357,1.1124,615.4053
14-Jul-20175215_11.prm,28.139,It.E1.1.10-20.04,0.1807,0.0509,13.692,3.3398,0.9398,524.481
14-Jul-20175315_18.prm,26.467,It.E1.2.10-20.04,0.1876,0.0496,13.4602,3.1736,0.8399,471.8774
14-Jul-20175415_25.prm,26.724,blank,0.0031,0.0008,4.1523,0.013,0.0035,1.8845
14-Jul-20175515_32.prm,1.164,std 8,5.483,0.0638,16.1649,70.2194,0.8174,459.9762
14-Jul-20175615_39.prm,26.724,It.E1.3.10-20.04,0.1988,0.0531,14.1253,3.449,0.9217,514.959
14-Jul-20175715_45.prm,26.891,It.E1.4.10-20.04,0.2673,0.0719,17.7035,4.8855,1.3138,721.4952
14-Jul-20175815_52.prm,27.827,It.E1.T.2.10-20.16,0.4124,0.1148,25.8773,5.5056,1.532,836.4887
14-Jul-20175915_59.prm,27.784,It.E1.T.2.10-20.16_2,0.5731,0.1592,34.3577,5.6532,1.5707,856.8472
14-Jul-20176016_06.prm,27.734,It.E1.Ee2.2.10-20.16,0.8391,0.2327,48.3753,5.3021,1.4705,804.0634
14-Jul-20176116_13.prm,28.524,It.E1.L.2.10-20.16,0.9327,0.2661,54.7308,4.4113,1.2583,692.264
14-Jul-20176216_19.prm,26.468,It.E1.Ee1.2.10-20.16,1.2497,0.3308,67.0703,3.4392,0.9103,508.9342
14-Jul-20176316_26.prm,28.759,It.E1.L.3.10-20.16,1.3345,0.3838,77.1835,3.5178,1.0117,562.3588
14-Jul-20176416_33.prm,26.561,It.E1.T.1.10-20.16,1.6669,0.4427,88.4242,5.0521,1.3419,736.3172
14-Jul-20176516_40.prm,28.527,It.E1.L.1.10-20.16,1.8811,0.5366,106.3252,5.0396,1.4377,786.7687
14-Jul-20176616_47.prm,27.755,It.E1.Ee1.1.10-20.16,2.5757,0.7149,140.3242,4.3152,1.1977,660.3432
14-Jul-20176716_53.prm,27.437,It.E1.Ee2.1.10-20.16,2.9822,0.8182,160.0311,6.5336,1.7926,973.7655
14-Jul-20176817_00.prm,1.356,std 9,28.1054,0.3811,76.6713,17.4738,0.2369,154.2026
