File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
14-Jul-2017110_13.prm,0.86,std 1,4.8983,0.0421,12.0273,69.5021,0.5977,344.2667
14-Jul-2017210_19.prm,1.339,std 2,4.7934,0.0642,16.2339,71.4057,0.9561,533.0824
14-Jul-2017310_25.prm,2.54,std 3,4.9963,0.1269,28.195,73.5686,1.8686,1013.821
14-Jul-2017410_31.prm,3.297,std 4,4.8437,0.1597,34.4483,70.4925,2.3241,1253.7867
14-Jul-2017510_36.prm,26.687,JP.E2.1.0-10.04,0.0421,0.0112,6.1347,0.9211,0.2458,158.874
14-Jul-2017610_42.prm,25.822,JP.E2.4.0-10.04,0.028,0.0072,5.3747,0.7551,0.195,132.1017
14-Jul-2017710_48.prm,26.261,JP.E2.Ee1.2.0-10.16,0.0731,0.0192,7.6566,1.8389,0.4829,283.7805
14-Jul-2017810_53.prm,27.412,JP.E2.Ee2.2.0-10.16,0.0714,0.0196,7.7257,1.7647,0.4838,284.2264
14-Jul-2017910_59.prm,28.417,JP.E2.L.4.0-10.16,0.0211,0.006,5.138,0.5962,0.1694,118.6232
14-Jul-20171011_05.prm,28.603,JP.E2.Ee1.4.0-10.16,0.0284,0.0081,5.5405,0.8012,0.2292,150.1022
14-Jul-20171111_11.prm,28.68,JP.E2.Ee2.4.0-10.16,0.0617,0.0177,7.3684,1.6348,0.4689,276.3794
14-Jul-20171211_16.prm,27.502,JP.E2.L.3.0-10.16,0.0387,0.0106,6.0218,0.7853,0.216,143.1583
14-Jul-20171311_22.prm,28.792,JP.E2.Ee1.3.0-10.16,0.0466,0.0134,6.5551,1.2277,0.3535,215.5984
14-Jul-20171411_28.prm,28.402,JP.E2.Ee2.3.0-10.16,0.0572,0.0163,7.0938,1.3651,0.3877,233.6379
14-Jul-20171511_33.prm,27.516,JP.E2.L.1.0-10.16_2,0.0443,0.0122,6.3205,1.0366,0.2852,179.6474
14-Jul-20171611_39.prm,26.682,JP.E2.Ee2.1.0-10.16_2,0.0497,0.0133,6.5254,1.061,0.2831,178.515
14-Jul-20171711_45.prm,1.066,std 5,4.6784,0.0499,13.5045,70.4822,0.7513,425.1984
14-Jul-20171811_51.prm,27.171,JP.E2.Ee1.1.0-10.16_2,0.045,0.0122,6.3248,1.0055,0.2732,173.3082
14-Jul-20171911_56.prm,26.315,Jp.E2.T.1.0-10.16_2,0.0194,0.0051,4.9653,0.396,0.1042,84.2795
14-Jul-20172012_02.prm,26.942,Jp.E2.1.0-10.04_2,0.0382,0.0103,5.957,0.7245,0.1952,132.2103
14-Jul-20172112_08.prm,27.103,Jp.E2.3.0-10.04,0.036,0.0097,5.8522,0.7249,0.1965,132.8808
14-Jul-20172212_14.prm,26.933,Jp.E2.2.0-10.04,0.0479,0.0129,6.4543,0.9472,0.2551,163.7674
14-Jul-20172312_19.prm,26.683,Jp.E2.4.10-20.04,0.019,0.0051,4.9609,0.3478,0.0928,78.2618
14-Jul-20172412_25.prm,26.933,JP.E2.3.10-20.04,0.0187,0.005,4.953,0.3068,0.0826,72.9084
14-Jul-20172512_31.prm,27.332,JP.E2.1.10-20.04,0.0239,0.0065,5.2384,0.3743,0.1023,83.2734
14-Jul-20172612_37.prm,27.134,JP.E2.2.10-20.04,0.0333,0.009,5.7153,0.5429,0.1473,106.9861
14-Jul-20172712_42.prm,26.219,It.E1.Ee2.1.0-10.16,0.3221,0.0844,20.0976,7.0853,1.8577,1008.0474
14-Jul-20172812_48.prm,27.68,It.E1.T.1.0-10.16,0.2401,0.0665,16.6699,5.229,1.4474,791.8983
14-Jul-20172912_54.prm,27.768,It.E1.L.1.0-10.16,0.2085,0.0579,15.0369,4.863,1.3503,740.7707
14-Jul-20173013_00.prm,0.936,std 6,4.938,0.0462,12.8082,77.7195,0.7275,412.6147
14-Jul-20173113_05.prm,27,blank,0.0576,0.0156,3.4931,0.0063,0.0017,0.922
14-Jul-20173213_11.prm,27.428,It.E1.Ee1.1.0-10.16,0.4325,0.1186,26.6183,7.2497,1.9884,1076.9325
14-Jul-20173313_17.prm,26.797,It.E1.T.2.0-10.16,0.2536,0.068,16.9544,5.2173,1.3981,765.9148
14-Jul-20173413_23.prm,26.672,It.E1.L.2.0-10.16,0.2586,0.069,17.1489,7.3469,1.9596,1061.7243
14-Jul-20173513_28.prm,26.224,It.E1.Ee1.2.0-10.16,0.2233,0.0585,15.1589,5.645,1.4804,809.2612
14-Jul-20173613_34.prm,27.904,It.E1.Ee2.2.0-10.16,0.2537,0.0708,17.4924,5.0285,1.4032,768.5916
14-Jul-20173713_40.prm,27.588,It.E1.T.3.0-10.16,0.18,0.0497,13.4641,3.8527,1.0629,589.33
14-Jul-20173813_46.prm,26.821,It.E1.Ee1.3.0-10.16,0.2871,0.077,18.6791,5.7528,1.543,842.2427
14-Jul-20173913_51.prm,26.989,It.E1.Ee2.3.0-10.16,0.2907,0.0785,18.958,5.4887,1.4813,809.7787
14-Jul-20174013_57.prm,26.75,It.E1.L.3.0-10.16,0.3036,0.0812,19.481,5.9819,1.6002,872.3752
14-Jul-20174114_03.prm,28.755,It.E1.T.4.0-10.16,0.2733,0.0786,18.981,5.6095,1.613,879.1514
14-Jul-20174214_09.prm,28.612,It.E1.L.4.0-10.16,0.2047,0.0586,15.1636,4.6079,1.3184,723.9406
