"","X","stand","depth","year","ID","N_pct","C_pct","CN_avgd","measured_in","Eval_Date","Mass_coef","Mass_g","Mg_pct","Mg_int","Al_pct","Al_int","Si_pct","Si_int","P_pct","P_int","S_pct","S_int","Cl_pct","Cl_int","K_pct","K_int","Ca_pct","Ca_int","Ti_ppm","Ti_int","Mn_ppm","Mn_int","Fe_ppm","Fe_int","Cu_ppm","Cu_int","Zn_ppm","Zn_int","Rb_ppm","Rb_int","Sr_ppm","Sr_int","Zr_ppm","Zr_int","Nb_ppm","Nb_int","Mo_ppm","Mo_int","Pb_ppm","Pb_int","P_ppm","Ca_ppm","K_ppm","Mg_ppm","Fe_pct","site","LU","position","rep","inc_from","inc_to","elt","avgBD","BDsd","C_new","N_new","newest","oldmeas"
"11",11,"BO.E",30,"04","BO.E.1.20-40.04",0.077,0.993,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,1,20,40,NA,1.28,NA,1.15088964788614,0.13009209840194,4,4
"12",12,"BO.E",30,"04","BO.E.4.20-40.04",0.095,1.384,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,4,20,40,NA,1.28,NA,1.57492721452771,0.150482556109204,4,4
"13",13,"BO.E",5,"04","BO.E.3.0-10.04",0.181,2.697,0,"04","7/18/2017 15:51",11.6289,3.06,0.0295,5.2225,15.23,866.0783,16.87,1858.2878,0.02766,9.3371,0.04412,19.205,"0.00353",4.3105,0.02209,65.2716,0.00915,64.6493,9189,10188.7051,101.3,373.0272,68380,47007.6258,"23.1",33.1679,27.8,56.486,"< 0.4",16.7935,4.6,46.7061,387.5,656.0349,28,48.4132,4.1,11.4374,7.6,17.6318,276.6,91.5,220.9,295,6.838,"BO","E",NA,3,0,10,NA,1.46,NA,2.99886922220131,0.247903631821687,4,4
"14",14,"BO.E",5,"04","BO.E.2.0-10.04",0.181,2.838,0,"04","7/18/2017 15:36",11.2693,3.04,0.0321,5.2713,14.91,865.0923,16.83,1889.2115,0.02142,9.7333,0.03922,17.3439,"0.00327",4.1496,0.02045,61.4256,0.00938,65.7375,9168,10325.125,108,403.7752,64650,45195.8204,"21.5",31.8556,23,48.1729,"< 0.4",14.8149,4.5,47.2826,525.7,913.2862,26.6,47.1207,4.8,13.1213,6.3,14.8984,214.2,93.8,204.5,321,6.465,"BO","E",NA,2,0,10,NA,1.46,NA,3.15178302500556,0.247903631821687,4,4
"15",15,"BO.E",5,"04","BO.E.4.0-10.04",0.199,2.413,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,4,0,10,NA,1.46,NA,2.69087262648212,0.268294089528951,4,4
"16",16,"BO.E",5,"04","BO.E.1.0-10.04",0.156,2.555,0,"04","7/18/2017 15:22",11.3717,3.01,0.0288,5.2077,15.13,848.2529,17.19,1871.9898,0.01947,9.376,0.038,16.3913,"0.00161",2.7836,0.02057,60.2415,0.01112,72.4434,8948,9834.6662,99.1,362.5456,63930,43616.7042,"19.9",29.0593,24.2,50.0496,"< 0.4",14.887,4.6,47.4791,546.7,935.613,28.5,49.5001,4.2,11.6879,7,16.4129,194.7,111.2,205.7,288,6.393,"BO","E",NA,1,0,10,NA,1.46,NA,2.84487092434172,0.219583551672709,4,4
"17",17,"BO.E",5,"16","BO.E.1.0-10.16",0.1677,2.2945,0,"16","7/18/2017 13:26",12.085,2.93,0.0205,5.0825,15.43,846.0848,16.56,1773.2816,0.02832,8.8657,0.04204,17.9712,"0.0018",2.9242,0.02015,58.7135,0.01724,104.7778,9606,10491.7846,103.1,373.7199,73010,49099.9262,"23.7",32.7356,21.1,41.2772,"0.3",18.2332,5.3,51.5439,349.5,571.0332,27.3,45.4791,4.1,11.2585,6.8,15.1476,283.2,172.4,201.5,205,7.301,"BO","E",NA,1,0,10,NA,1.15685608066667,0.0334386271610684,2.2945,0.1677,16,16
"18",18,"BO.E",5,"16","BO.E.2.0-10.16",0.1906,2.756,0,"16","7/18/2017 13:41",11.6568,3.06,0.01371,4.9885,15,834.8411,16.52,1796.9681,0.02924,9.0916,0.04292,18.6596,"0.00135",2.592,0.02082,61.4908,0.01544,95.6771,9226,10229.8037,97.6,359.426,68720,46978.8573,"22.4",31.982,22.8,46.0385,"< 0.5",12.79,5.1,51.007,336.8,564.9631,26.4,45.3691,4.3,11.8844,8.7,19.7765,292.4,154.4,208.2,137.1,6.872,"BO","E",NA,2,0,10,NA,1.15685608066667,0.0334386271610684,2.756,0.1906,16,16
"19",19,"BO.E",5,"16","BO.E.3.0-10.16",0.147,2.0449,0,"16","7/18/2017 13:55",11.7048,3.03,0.033,5.2751,15.67,889.633,16.65,1821.5487,0.02867,9.8338,0.03729,16.228,"0.00231",3.3433,0.0217,63.9965,0.01954,115.7827,9649,10662.5041,124.4,455.4487,68850,47127.5238,"24.9",35.5785,26.8,54.1284,"< 0.5",14.0695,6.1,61.3865,418.8,705.7639,29.1,49.8821,4.6,12.4705,7.6,17.545,286.7,195.4,217,330,6.885,"BO","E",NA,3,0,10,NA,1.15685608066667,0.0334386271610684,2.0449,0.147,16,16
"20",20,"BO.E",5,"16","BO.E.4.0-10.16",0.1642,2.1361,0,"16","7/18/2017 14:10",11.4297,3.04,0.0377,5.3641,15.07,889.3304,16.08,1830.2781,0.02616,9.0598,0.03704,16.7309,"0.00142",2.691,0.01924,58.9222,0.00698,55.8234,9151,10499.1891,87.9,334.4971,68590,48764.5068,"22.2",32.4248,21.9,45.4373,"< 0.4",16.5175,4.5,46.0049,364.5,628.2318,27.3,47.8091,4.6,12.6637,8.2,19.3981,261.6,69.8,192.4,377,6.859,"BO","E",NA,4,0,10,NA,1.15685608066667,0.0334386271610684,2.1361,0.1642,16,16
